player_id,player_name,positions,blocked_punt,conversions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,,,,,,0.0,15.0,1.0,0.0,55.0,
anthony-jones,Anthony Jones,RB,,,,,,,,,,,,,0.0,-4.0,1.0,0.0,12.0,
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,,,,1.0,95.0,4.0,,,
ben-bresnahan,Ben Bresnahan,TE,,,,,,,,,,,,,1.0,3.0,1.0,,,
breakers-dst,Breakers DST,DST,,,,,,,3.0,,,,,31.0,,,,,,2.0
breakers-k,Breakers K,K,,,5.0,27.0,,,,,,,,,,,,,,
breakers-qb,Breakers QB,QB,,,,,,0.0,,,,2.0,251.0,,,,,0.0,8.0,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,,,,,,0.0,9.0,1.0,,,
chris-rowland,Chris Rowland,WR,,1.0,,,,,,,,,,,0.0,66.0,3.0,,,
clint-sigg-jr,Clint Sigg Jr.,TE,,,,,,,,,,,,,0.0,0.0,0.0,,,
cornell-powell,Cornell Powell,WR,,1.0,,,,,,,,,,,0.0,0.0,0.0,,,
dee-anderson,Dee Anderson,WR,,,,,,,,,,,,,0.0,10.0,1.0,,,
defenders-dst,Defenders DST,DST,1.0,,,,2.0,,1.0,,,,,12.0,,,,,,0.0
defenders-k,Defenders K,QB/K,,,,98.0,,0.0,,,1.0,1.0,152.0,,,,,0.0,16.0,
deneric-prince,Deneric Prince,RB,,,,,,,,,,,,,,,,0.0,44.0,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,,,,,,0.0,42.0,
ej-perry,E.J. Perry,QB,,,,,,1.0,,,,0.0,194.0,,,,,1.0,26.0,
eli-stove,Eli Stove,WR,,,,,,,,,,,,,0.0,42.0,1.0,,,
gamblers-dst,Gamblers DST,DST,,,,,,,0.0,,,,,38.0,,,,,,1.0
gamblers-k,Gamblers K,K,,,4.0,44.0,,,,,1.0,,,,,,,,,
gamblers-qb,Gamblers QB,QB,,,,,,3.0,,,,3.0,266.0,,,,,0.0,9.0,
isiah-hennie,Isiah Hennie,WR,,,,,,,,1.0,,,,,,,,,,
jared-scott,Jared Scott,TE,,,,,,,,,,,,,0.0,15.0,1.0,,,
javon-antonio,Javon Antonio,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,,,,0.0,0.0,1.0,,,
johnnie-dixon,Johnnie Dixon,WR,,,,,,,,,,,,,1.0,52.0,4.0,0.0,-3.0,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,,0.0,134.0,10.0,,,
jordan-taamu,Jordan Ta\'amu,QB,,,,,,0.0,,,,1.0,152.0,,,,,0.0,18.0,
josh-pederson,Josh Pederson,RB/WR/TE,,,,,,,,,,,,,0.0,17.0,2.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,,,2.0,110.0,8.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,,0.0,19.0,1.0,,,
kenji-bahar,Kenji Bahar,QB,,,,,,3.0,,,,3.0,266.0,,,,,0.0,9.0,
kwame-lassiter-ii,Kwame Lassiter II,WR,,,,,,,,,,,,,0.0,6.0,2.0,,,
lee-morris,Lee Morris,WR,,,,,,,,,,,,,0.0,34.0,1.0,,,
matt-coghlin,Matt Coghlin,K,,,5.0,82.0,,,,,1.0,,,,,,,,,
matthew-mccrane,Matthew McCrane,K,,,,98.0,,,,,1.0,,,,,,,,,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,,,,,0.0,,,,2.0,251.0,,,,,0.0,8.0,
mike-diliello,Mike DiLiello,QB,,,,,,,,,,,,,,,,0.0,-2.0,
nick-vogel,Nick Vogel,K,,,4.0,44.0,,,,,1.0,,,,,,,,,
showboats-k,SHOWBOATS K,K,,,,55.0,,,,,1.0,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,,,,,1.0,,,,0.0,194.0,,,,,1.0,26.0,
sage-surratt,Sage Surratt,TE,,,,,,,,,,,,,1.0,121.0,11.0,,,
showboats-dst,Showboats DST,DST,,,,,,,0.0,,,,,17.0,,,,,,1.0
tj-pledger,T.J. Pledger,RB,,,,,,,,,,,,,0.0,26.0,2.0,1.0,94.0,
terry-wilson,Terry Wilson,QB,,,,,,,,,,,,,,,,0.0,-6.0,
ty-scott,Ty Scott,WR,,,,,,,,,,,,,0.0,59.0,5.0,,,
wes-hills,Wes Hills,RB,,,,,,,,,,,,,0.0,17.0,3.0,3.0,110.0,
