player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_ir,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adrian-tracy,Adrian Tracy,DB/DL,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexander-green,Alexander Green,RB,,,,,,,,,,,,,,,,21.0,2.0,2.0,,35.0,35.0,,,,,,17.0,22.0,,62.0,,,,,,,,,,,,
anthony-orange,Anthony Orange,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-parker,Anthony Parker,WR,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,,13.0,,,,,,,,,,,,,,,,
anthony-thompson,Anthony Thompson,DB,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boseko-lokombo,Boseko Lokombo,LB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bralon-addison,Bralon ADDISON,WR,,,,,,,,,,,,,,,,44.0,5.0,8.0,,35.0,124.0,,,,,,,,,,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,,,,,12.0,4.0,7.0,,11.0,35.0,,,,,,,,,,1.0,,,2.0,,,,,,,,
cariel-brooks,Cariel Brooks,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
cory-watson,Cory Watson,WR,,,,,,,,,,,,,,,,31.0,3.0,5.0,,18.0,45.0,,,,,,,,,,,,,,,,,,,,,
dane-evans,Dane Evans,QB,,,,,,,,5.0,3.0,,37.0,5.0,1.0,,77.0,,,,,,,,,,,,3.0,2.0,1.0,3.0,,,,6.0,1.0,1.0,,,,,,
david-mackie,David Mackie,FB/RB,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
davon-coleman,Davon Coleman,DB/DT,,1.0,4.0,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devier-posey,DeVier Posey,WR,,,,,,,,,,,,,,,,26.0,2.0,3.0,,3.0,46.0,,,,,,,,,,,,,,,,,,,,,
don-unamba,Don Unamba,LB,,1.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankie-williams,Frankie Williams,DB,1.0,,5.0,1.0,5.0,39.0,,,,,,,,,,,,,,,,47.0,1.0,,,47.0,,,,,,1.0,,6.0,,1.0,,,,,,
garry-peters,Garry PETERS,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,20.0,1.0,,,20.0,,,,,,,,,,,,,,,,
ivan-mclennan,Ivan McLennan,DB/DL,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
