player_id,player_name,positions,fumble_recoveries,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,rushing_tds,rushing_yards
cassian-foreman,Cassian Foreman,WR,,,,,0.0,4.0,,
cole-blackman,Cole Blackman,WR,,,,,1.0,41.0,,
dallas-daniels,Dallas Daniels,WR,,,,,2.0,37.0,,
edward-vander,Edward Vander,RB,,,,,0.0,61.0,1.0,8.0
jerminic-smith,Jerminic Smith,WR,0.0,,,,2.0,101.0,0.0,-3.0
mike-carrigan,Mike Carrigan,WR,,,,,0.0,9.0,0.0,9.0
nate-davis,Nate Davis,QB,,0.0,5.0,209.0,,,0.0,7.0
shane-hooks,Shane Hooks,WR,,,,,2.0,59.0,,
spencer-tears,Spencer Tears,WR,,,,,0.0,11.0,,
tj-edwards-ii,TJ Edwards II,QB,,0.0,2.0,135.0,,,3.0,26.0
tripp-harrington,Tripp Harrington,WR,,,,,0.0,10.0,0.0,4.0
tyrell-greene-jr,Tyrell Greene Jr.,RB,,,,,0.0,11.0,,
