player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,ret_lg,ret_net,ret_num,ret_ret,ret_ryds,ret_tb,ret_yds
kenny-allen,Kenny Allen,K/P,,,,,39.0,39.0,1.0,1.0,27.0,1.0,39.0
otha-foster,Otha Foster,DB/LB,1.0,2.0,2.0,9.0,,,,,,,
