player_id,player_name,positions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
calvin-fance,Calvin Fance,RB,,,,0.0,6.0
jordon-gandy,Jordon Gandy,WR,1.0,75.0,6.0,,
joshua-reese,Joshua Reese,WR,1.0,26.0,2.0,,
richy-anderson,Richy Anderson,WR,0.0,86.0,5.0,,
