player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
alexander-kekua,Alexander Kekua,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
ashton-henry,Ashton Henry,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,0.0,30.0,1.0,,,,,,,,,,,,,
axel-perez,Axel Perez,K,0.0,,,,,,,,,,,,6.0,48.1,0.0,2.0,385.0,8.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,8.0,6.0
calvin-lowe,Calvin Lowe,WR,,,,,,,,,,,0.0,,,,,,,,,,,,11.0,8.0,,31.0,3.0,89.0,,,,,,4.5,13.0,11.0,1.0,50.0,,,,,,,,
chris-chukwuneke,Chris Chukwuneke,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,5.0,,,,
christian-stokley,Christian Stokley,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,9.0,0.0,17.0,2.0,3.3,9.0,12.0,0.0,40.0,,,,,,,,
colby-thomas,Colby Thomas,G/OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
daniel-byse,DANIEL BYSE,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,31.0,1.0,51.0,3.0,,,,,,,,1.0,2.0,,,,
deandre-churchill,Deandre Churchill,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
deron-maxwell,Deron Maxwell,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,,,,,,
