player_id,player_name,positions,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
aakiel-greer,Aakiel Greer,WR,,,,,0.0,19.0,3.0,,
adam-kruse,Adam Kruse,QB,0.0,,1.0,70.0,,,,,
billings-qb,BILLINGS QB,QB,,,7.0,199.0,,,,1.0,4.0
darius-prince,DARIUS PRINCE,WR,,,,,4.0,87.0,6.0,0.0,-1.0
deshon-williams,Deshon  Williams,TE/WR,,,,,0.0,34.0,5.0,,
jamaar-moore,Jamaar Moore,WR,,,,,1.0,38.0,6.0,,
ledarian-mcallister,Ledarian Mcallister,WR,,,,,1.0,34.0,2.0,,
malik-henry-2,Malik Henry,QB,,,,,,,,1.0,6.0
washington-qb,WASHINGTON QB,QB,,4.0,1.0,110.0,,,,,22.0
