player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
andre-sale,Andre Sale,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
away-jefferson,Away Jefferson,DB,,,,,,,,,,,2.0,,,,,,,21.5,37.0,0.0,43.0,,,,,,,19.3,26.0,1.0,58.0,3.0,,,,,,,,,,,
axel-perez,Axel Perez,K,0.0,1.0,0.0,0.0,,,,,,,,7.0,48.4,0.0,1.0,387.0,8.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,8.0,7.0
blake-erickson,Blake Erickson,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
brandon-unangst-refused-to-report,Brandon Unangst (Refused to Report),OL,,2.0,22.0,1.0,,,,,,,,7.0,50.0,0.0,3.0,300.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
calvin-lowe,Calvin Lowe,WR,,,,,,,,,,0.0,,,,,,,,,,,,23.0,18.0,,23.0,6.0,182.0,,,,,,6.6,14.0,7.0,1.0,46.0,,,,,,
christian-stokley,Christian Stokley,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,16.0,0.0,53.0,6.0,6.3,29.0,15.0,1.0,94.0,,,,,,
colby-thomas,Colby Thomas,G/OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
daniel-byse,DANIEL BYSE,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,23.0,2.0,56.0,5.0,,,,,,1.0,2.0,,,,
darrien-crowe,Darrien Crowe,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
david-brown-jr,David Brown Jr.,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,1.0,0.0,,
draylen-ellis,Draylen Ellis,QB,,,,,,,,,,,1.0,,,,,,,18.0,18.0,0.0,18.0,,,,,,,,,,,,1.0,3.0,3.0,0.0,3.0,,,,,,
emanuel-aquilar-medrano,Emanuel Aquilar-Medrano,K,0.0,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
idrissa-nikiema,Idrissa Nikiema,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,17.0,3.0,46.0,4.0,0.0,0.0,1.0,0.0,0.0,,,,,,
jahoiyakim-afoa,Jahoiyakim Afoa,K,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,7.0,,,,
jordus-smith,Jordus Smith,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,4.0,,,,
joseph-taylor,Joseph Taylor,QB,,,,,,,,,,0.0,,,,,,,,,,,,29.0,21.0,,28.0,5.0,225.0,,,,,,-4.0,0.0,1.0,0.0,-4.0,,,,,,
justin-gilbert,Justin Gilbert,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
kerry-starks,Kerry Starks,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,4.0,,,,
kimo-naehu,Kimo Naehu,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
kyle-griswould,Kyle Griswould,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,6.0,,,,
