player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
alexander-kekua,Alexander Kekua,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,0.0,11.0,1.0,2.8,8.0,4.0,0.0,11.0,,,,,,,,
ashton-henry,Ashton Henry,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,29.0,1.0,73.0,3.0,,,,,,,,0.0,1.0,,,,
ben-pister,Ben Pister,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
blaine-espinosa,Blaine Espinosa,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
carlos-vazquez,Carlos Vazquez,K,0.0,,,,,,,,,,,,,,,4.0,,,,,,,21.5,28.0,0.0,86.0,,,,,,,4.0,4.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0,2.0,,,1.0,1.0,,,,
carver-shamelle-dumas,Carver Shamelle Dumas,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,0.0,28.0,4.0,1.0,2.0,2.0,0.0,2.0,,,,,,,,
cedric-hearvey,Cedric Hearvey,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,7.0,7.0,0.0,9.0,,,,,,,,
chase-alisauckas,Chase Alisauckas,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,2.0,,,,
christian-stokley,Christian Stokley,WR,0.0,1.0,0.0,,,,,,,,,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
daizion-carroll,Daizion Carroll,OL,0.0,,,,,,,1.0,0.0,1.0,0.0,,,,1.0,,,,,,,,,,,,19.0,11.0,,40.0,3.0,194.0,,,,,,7.6,24.0,8.0,1.0,61.0,,,0.0,0.0,,,,
dayjure-stewart,Dayjure Stewart,RB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,3.0,,,,
desmond-raiford,Desmond Raiford,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
