player_id,player_name,positions,conversions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,0.0,12.0,1.0,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,,,0.0,-2.0,1.0,0.0,55.0,
bailey-gaither,Bailey Gaither,WR,,,,,,,,,,,,0.0,4.0,1.0,,,
battlehawks-dst,Battlehawks DST,DST,,,,,,1.0,,,,,9.0,,,,,,4.0
battlehawks-k,Battlehawks K,K,,,67.0,,,,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,,,,,0.0,,,,0.0,162.0,,,,,0.0,69.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,,0.0,26.0,1.0,0.0,-2.0,
braedon-bowman,Braedon Bowman,TE/WR,,,,,,,,,,,,0.0,44.0,2.0,,,
brahmas-dst,Brahmas DST,DST,,,,,,0.0,,,,,26.0,,,,,,1.0
brahmas-k,Brahmas K,K,,,31.0,,,,,,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,,,,1.0,,,,0.0,129.0,,,,,0.0,19.0,
cj-turner,CJ Turner,WR,,,,,,,,,,,,0.0,19.0,1.0,,,
cameron-echols-luper,Cameron Echols-Luper,WR,,,,,,,,,,,,1.0,57.0,4.0,,,
dakota-prukop,Dakota Prukop,QB,,,,,0.0,,,,1.0,36.0,,,,,0.0,9.0,
darius-victor,Darius Victor,RB,,,,,,,,,,,,0.0,0.0,1.0,1.0,71.0,
deandre-johnson,De\'Andre Johnson,QB,,,,,0.0,,,,0.0,100.0,,,,,,12.0,
dee-anderson,Dee Anderson,WR,,,,,,,,,,,,0.0,30.0,4.0,,,
donald-de-la-haye,Donald De La Haye,K,,,31.0,,,,,,,,,,,,,,
duane-gary,Duane Gary,WR/RB,,,,,,,,,,,,0.0,0.0,0.0,0.0,19.0,
gary-jennings,Gary Jennings,WR,,,,,,,,,,,,0.0,58.0,1.0,0.0,13.0,
generals-dst,Generals DST,DST,,,,2.0,,1.0,,,,,3.0,,,,,,5.0
generals-k,Generals K,K,,2.0,81.0,,,,,,,,,,,,,,
generals-qb,Generals QB,QB,,,,,0.0,,,,1.0,136.0,,,,,0.0,21.0,
greg-ward,Greg Ward,WR,,,,,,,,,,,,0.0,7.0,2.0,,,
ishmael-hyman,Ishmael Hyman,WR,,,,,,,,,,,,0.0,53.0,3.0,,,
isiah-hennie,Isiah Hennie,WR,,,,,,,,,,,,0.0,53.0,9.0,0.0,6.0,
jacob-harris,Jacob Harris,WR,,,,,,,,,,,,0.0,69.0,3.0,,,
jacob-saylors,Jacob Saylors,RB,1.0,,,,,,,,,,,0.0,25.0,3.0,3.0,46.0,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,,0.0,8.0,3.0,0.0,14.0,
jake-sutherland,Jake Sutherland,TE/WR,,,,,,,,,,,,0.0,14.0,1.0,,,
james-morgan,James Morgan,QB,,,,,1.0,,2.0,,0.0,54.0,,,,,0.0,-6.0,
jarveon-howard,Jarveon Howard,RB,,,,,,,,,,,,0.0,11.0,1.0,0.0,13.0,
jashaun-corbin,Jashaun Corbin,RB,,,,,,,,,,,,0.0,4.0,2.0,1.0,38.0,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,,,0.0,43.0,4.0,,,
josh-simmons,Josh Simmons,WR,,,,,,,,,,,,0.0,23.0,4.0,,,
kellen-mond,Kellen Mond,QB,,,,,1.0,,,,0.0,129.0,,,,,0.0,19.0,
kevon-latulas,Kevon Latulas,RB,,,,,,,,,,,,,,,0.0,12.0,
kingston-davis,Kingston Davis,RB,,,,,,,,,,,,0.0,5.0,2.0,0.0,21.0,
madre-london,Madre London,RB,,,,,,,,,,,,0.0,13.0,1.0,0.0,38.0,
manny-wilkins,Manny Wilkins,QB,,,,,0.0,,,,0.0,162.0,,,,,0.0,58.0,
marcus-green,Marcus Green,WR,,,,,,,,,,,,,,,0.0,14.0,
mason-stokke,Mason Stokke,FB/RB,,,,,,,,,,,,0.0,12.0,3.0,,,
matt-seybert,Matt Seybert,TE,,,,,,,,,,,,0.0,0.0,0.0,,,
maulers-dst,Maulers DST,DST,,,,1.0,,0.0,,,,,20.0,,,,,,0.0
maulers-k,Maulers K,K,,,47.0,,,,,1.0,,,,,,,,,
maulers-qb,Maulers QB,QB,,,,,1.0,,2.0,,0.0,54.0,,,,,0.0,7.0,
max-duggan,Max Duggan,QB,,,,,0.0,,,,0.0,0.0,,,,,0.0,11.0,
nick-sciba,Nick Sciba,K,,2.0,81.0,,,,,,,,,,,,,,
racey-mcmath,Racey McMath,WR,,,,,,,,,,,,0.0,8.0,1.0,,,
rodrigo-blankenship,Rodrigo Blankenship,K,,,67.0,,,,,,,,,,,,,,
tre-walker,Tre Walker,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
woody-brandom,Woody Brandom,TE,,,,,,,,,,,,0.0,0.0,0.0,,,
