player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
aaron-coble,Aaron Coble,P,,,11.0,10.0,,,,,,11.0,1.0,-7.0,87.0
ben-levinsky,Ben Levinsky,P,,,4.0,3.0,,,1.0,,1.0,3.0,,31.0,20.0
caden-sigerud,Caden Sigerud,P,,,6.0,5.0,1.0,1.0,1.0,,,5.0,,67.0,35.0
chris-lung,Chris Lung,P,1.0,1.0,11.0,5.0,,5.0,,1.0,1.0,6.0,1.0,128.0,84.0
clark-wang,Clark Wang,P,,1.0,9.0,9.0,,,,,,10.0,1.0,49.0,87.0
collin-gall,Collin Gall,P,,,7.0,10.0,,1.0,1.0,,,10.0,,84.0,82.0
conor-bauman,Conor Bauman,P,1.0,,11.0,13.0,,2.0,,,5.0,17.0,2.0,18.0,42.0
dexter-clyburn,Dexter Clyburn,P,2.0,1.0,14.0,13.0,1.0,1.0,4.0,2.0,,15.0,1.0,152.0,167.0
dylan-nice,Dylan Nice,P,1.0,1.0,10.0,7.0,2.0,1.0,2.0,,,8.0,1.0,99.0,58.0
ethan-li,Ethan Li,P,1.0,,10.0,14.0,,,,,6.0,14.0,,43.0,65.0
evan-magsig,Evan  Magsig,P,3.0,1.0,22.0,23.0,,,1.0,1.0,5.0,26.0,1.0,30.0,180.0
garrett-hable,Garrett Hable,P,,,2.0,,,2.0,,,,,,24.0,
jacob-smith,Jacob Smith,P,,2.0,6.0,6.0,,,1.0,,,7.0,1.0,85.0,67.0
jan-szmanda,Jan Szmanda,P,,,6.0,9.0,,,1.0,,,9.0,,-2.0,43.0
jeffrey-silverman,Jeffrey Silverman,P,,1.0,1.0,,,1.0,,,,,,39.0,
jimmy-mcguinness,Jimmy McGuinness,P,,1.0,2.0,1.0,,,1.0,,,2.0,1.0,17.0,7.0
jordan-queckboerner,Jordan Queckboerner,P,4.0,1.0,11.0,13.0,,,1.0,1.0,6.0,14.0,,78.0,118.0
justin-norden,Justin Norden,P,1.0,,10.0,16.0,,,,1.0,1.0,20.0,4.0,21.0,61.0
keenan-laurence,Keenan Laurence,P,1.0,1.0,8.0,5.0,,3.0,1.0,,,5.0,,125.0,42.0
kyle-johnson,Kyle Johnson,P,,1.0,4.0,4.0,,,,,,4.0,,-5.0,12.0
kyle-rubin,Kyle Rubin,P,4.0,,13.0,12.0,1.0,1.0,,,,13.0,1.0,48.0,120.0
mac-hecht,Mac Hecht,P,5.0,,20.0,30.0,,1.0,5.0,1.0,,34.0,3.0,74.0,266.0
matthew-burke,Matthew Burke,P,,,6.0,5.0,1.0,1.0,,,,5.0,1.0,24.0,11.0
max-williams,Max Williams,P,,,2.0,1.0,1.0,1.0,1.0,,,1.0,,24.0,-5.0
maxwell-hume,Maxwell Hume,P,,,6.0,4.0,,1.0,,,,5.0,1.0,21.0,24.0
michael-tran,Michael Tran,P,1.0,1.0,21.0,26.0,,,,,,29.0,3.0,-25.0,188.0
morgan-sommer,Morgan Sommer,P,1.0,,2.0,3.0,,,,,,3.0,,17.0,14.0
munis-thahir,Munis Thahir,P,,1.0,8.0,6.0,,1.0,,,,7.0,1.0,49.0,21.0
patrick-xu,Patrick Xu,P,1.0,1.0,5.0,5.0,,,1.0,,,5.0,,59.0,24.0
paul-lally,Paul Lally,P,2.0,1.0,27.0,36.0,,2.0,2.0,1.0,,41.0,5.0,137.0,200.0
raekwon-adkins,Raekwon Adkins,P,,,7.0,4.0,,2.0,,,,5.0,1.0,41.0,16.0
ray-mendoza,Ray Mendoza,P,,1.0,3.0,3.0,1.0,,,,,3.0,,63.0,31.0
reggie-sung,Reggie Sung,P,,,5.0,2.0,1.0,2.0,,,,3.0,1.0,47.0,1.0
robin-vickers-batzdorf,Robin Vickers Batzdorf,P,,,13.0,14.0,,1.0,,1.0,6.0,15.0,1.0,39.0,69.0
shane-davidson,Shane Davidson,P,,,,,,,,,1.0,,,,
steven-milardovich,Steven Milardovich,P,1.0,1.0,18.0,11.0,,4.0,2.0,,1.0,14.0,3.0,205.0,132.0
thomas-konogeris,Thomas Konogeris,P,,1.0,6.0,4.0,,1.0,1.0,,,5.0,1.0,148.0,-35.0
travis-dunn,Travis Dunn,P,4.0,2.0,34.0,30.0,,1.0,3.0,,1.0,36.0,4.0,326.0,157.0
walker-frankenberg,Walker Frankenberg,P,3.0,,23.0,21.0,,2.0,3.0,,,21.0,,196.0,92.0
wyatt-berreman,Wyatt Berreman,P,1.0,1.0,4.0,5.0,,,,,,5.0,,34.0,22.0
