player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
anders-mjoeen,Anders Mjoeen,,1.0,1.0,0.0,10.0,4.0
andrea-gilli,Andrea Gilli,,0.0,1.0,1.0,4.0,10.0
cesare-spiller,Cesare Spiller,,0.0,1.0,1.0,4.0,10.0
emil-storli,Emil Storli,,1.0,1.0,0.0,10.0,4.0
erland-snoeve,Erland Snoeve,,1.0,1.0,0.0,10.0,4.0
francesco-vigliani,Francesco Vigliani,,0.0,1.0,1.0,4.0,10.0
jonathan-saeteren,Jonathan Saeteren,,1.0,1.0,0.0,10.0,4.0
markus-dale,Markus Dale,,1.0,1.0,0.0,10.0,4.0
stefano-gilli,Stefano Gilli,,0.0,1.0,1.0,4.0,10.0
stefano-spiller,Stefano Spiller,,0.0,1.0,1.0,4.0,10.0
