player_id,player_name,positions,def_ast,def_sack,def_solo,def_tot,def_ydsl,misc_forced
david-dean,David Dean,DT/DB,1.0,,,1.0,,
jeremy-faulk,Jeremy Faulk,DB/DL,,1.0,2.0,2.0,8.0,
shaheed-salmon,Shaheed Salmon,DB/LB,2.0,,5.0,7.0,,1.0
