player_id,player_name,positions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
charles-hall,Charles Hall,WR,,,,,27.0,1.0,,
darien-townsend,DARIEN TOWNSEND,WR,,,,2.0,78.0,4.0,,
duane-brown,DUANE  BROWN,K/WR,,,,4.0,89.0,6.0,,
daquan-bailey-brown,Daquan Bailey-Brown,WR,,,,0.0,24.0,2.0,0.0,9.0
demarius-washington,Demarius Washington,WR,,,,0.0,35.0,5.0,,
isaiah-scott,Isaiah Scott,WR,,,,1.0,34.0,3.0,,
jairus-grissom,Jairus Grissom,QB/WR,0.0,0.0,9.0,,,,1.0,32.0
jalen-morton,Jalen Morton,QB,3.0,0.0,95.0,,,,2.0,88.0
logan-wright,Logan Wright,RB,,,,,,,0.0,9.0
marquel-wade,MARQUEL WADE,WR,,,,1.0,50.0,4.0,,
robert-mccoy-jr,Robert Mccoy Jr,QB,0.0,1.0,31.0,,,,,
sam-castronova,Sam Castronova,QB,0.0,7.0,220.0,,,,1.0,2.0
shiloh-flanagan,Shiloh Flanagan,WR,,,,0.0,18.0,3.0,,
