player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
alexander-hollins,Alexander HOLLINS,WR,,,,,,0.0,28.0,3.0,,
chad-kelly,Chad KELLY,QB,,,1.0,3.0,445.0,,,,0.0,12.0
damonte-coxie,Damonte COXIE,WR,,,,,,0.0,19.0,2.0,,
davis-alexander,Davis ALEXANDER,QB,,,0.0,2.0,441.0,,,,0.0,1.0
dustin-crum,Dustin CRUM,QB,,,,,,,,,1.0,1.0
isaiah-smith,Isaiah SMITH,RB,,,,,,0.0,35.0,1.0,,
jacob-mason,Jacob MASON,FB/RB,,,,,,0.0,1.0,1.0,,
jerreth-sterns,Jerreth STERNS,WR,,,,,,0.0,114.0,9.0,,
jose-maltos-diaz,Jose MALTOS DIAZ,K,3.0,95.0,,,,,,,,
kevin-mital,Kevin Mital,WR,,,,,,1.0,109.0,7.0,0.0,6.0
lirim-hajrullahu,Lirim Hajrullahu,K,3.0,69.0,,,,,,,,
mtl-k,MTL K,K,3.0,95.0,,,,,,,,
mtl-qb,MTL QB,QB,,,0.0,2.0,441.0,,,,1.0,2.0
makai-polk,Makai POLK,WR,,,,,,0.0,82.0,4.0,,
marco-dubois,Marco DUBOIS,FB/WR,,,,,,0.0,12.0,1.0,,
samuel-hicks,Samuel Hicks,RB,,,,,,0.0,29.0,3.0,0.0,53.0
shomari-lawrence,Shomari Lawrence,RB,,,,,,,,,0.0,6.0
tor-k,TOR K,K,3.0,69.0,,,,,,,,
tor-qb,TOR QB,QB,,,1.0,3.0,445.0,,,,0.0,12.0
travis-theis,Travis THEIS,RB,,,,,,0.0,32.0,3.0,0.0,43.0
tyler-kahmann,Tyler Kahmann,WR,,,,,,1.0,106.0,6.0,,
tyler-snead,Tyler SNEAD,WR,,,,,,0.0,62.0,5.0,,
tyson-philpot,Tyson PHILPOT,WR,,,,,,2.0,193.0,9.0,,
