player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
abdul-kanneh,Abdul Kanneh,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-konar,Adam KONAR,LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alonzo-addae,Alonzo ADDAE,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,1.0,1.0,,,,,,,,,,15.0,5.0,10.0,24.0,30.0,,,,,,7.0,6.0,,18.0,,,,,,,,,,
anthony-gosselin,Anthony GOSSELIN,FB/RB,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
avery-williams,Avery Williams,LB,1.0,10.0,,7.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryce-carter,Bryce CARTER,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caleb-evans,Caleb EVANS,QB,,,,,,,,1.0,1.0,,33.0,,,33.0,,,,,,,,,,,5.0,3.0,2.0,7.0,,12.0,2.0,2.0,,,,,,
chris-osei-kusi,Chris Osei-Kusi,WR,,,,,,,,,,,,,,,8.0,1.0,3.0,2.0,8.0,,,,,,,,,,,,,,,,,,,
christian-saulsberry,Christian Saulsberry,RB/WR,,,,,,,,,,,,,,,,,,,,24.0,4.0,,,65.0,,,,,,,,,,,,,,
damon-webb,Damon WEBB,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darvin-adams,Darvin Adams,WR,,,,,,,,,,,,,,,24.0,4.0,7.0,11.0,53.0,,,,,,,,,,,,,,,,,,,
derel-walker,Derel Walker,WR,,,,,,,,,,,,,,,18.0,1.0,6.0,11.0,18.0,,,,,,,,,,,,,,,,,,,
devonte-dedmon,Devonte DEDMON,RB/WR,,,,,,,,,,,,,,,8.0,2.0,2.0,8.0,10.0,42.0,3.0,,,70.0,,,,,,,,,,,,,,
devonte-williams,Devonte Williams,RB,,,,,,,,,,,,,,,15.0,3.0,4.0,9.0,13.0,,,,,,12.0,10.0,,58.0,,,,,,,,,,
dillon-mitchell,Dillon MITCHELL,WR,,,,,,,,,,,,,,,45.0,2.0,5.0,14.0,57.0,33.0,6.0,,,59.0,,,,,,,,,,,,,,
duron-carter,Duron Carter,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enock-makonzo,Enock MAKONZO,DB/LB,,,1.0,7.0,7.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankie-griffin,Frankie Griffin,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hakeem-bailey,Hakeem Bailey,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jackson-bennett,Jackson Bennett,RB,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,2.0,3.0,,5.0,,,,,,,,,,
jaelon-acklin,Jaelon Acklin,WR,,,,,,,,,,,,,,,12.0,4.0,6.0,11.0,39.0,,,,,,,,,,,,,,,,,,,
jake-ceresna,Jake CERESNA,DB/DL/DT,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jon-ryan,Jon Ryan,P,,,,,,,,,,,,,,,,,,,,60.0,6.0,4.0,71.0,274.0,,,,,,,,,,,,,,
kai-locksley,Kai Locksley,QB,,,,,,,,,,,,,,,21.0,2.0,6.0,11.0,28.0,,,,,,1.0,21.0,,21.0,,,,,,,,,,
kene-onyeka,Kene ONYEKA,DB/DL,,,1.0,1.0,1.0,,5.0,,,,,,,,,,,,,14.0,2.0,,,18.0,,,,,,,,,,,,,,
kenny-lawler,Kenny Lawler,WR,,,,,,,,,,,,,,,54.0,3.0,6.0,9.0,146.0,,,,,,,,,,,,,,,,,,,
kony-ealy,Kony Ealy,DB/DL,,,1.0,1.0,1.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lewis-ward,Lewis Ward,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,1.0,28.0,5.0,3.0,2.0
makana-henry,Makana Henry,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matthew-thomas,Matthew Thomas,DB/DL,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nafees-lyon,Nafees Lyon,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nathaniel-behar,Nathaniel Behar,WR,,,,,,,,,,,,,,,49.0,4.0,5.0,26.0,101.0,,,,,,,,,,,,,,,,,,,
nick-arbuckle,Nick ARBUCKLE,QB,,,,,,,,32.0,21.0,,49.0,19.0,2.0,219.0,,,,,,,,,,,2.0,,1.0,1.0,,6.0,1.0,1.0,,,,,,
nyles-morgan,Nyles MORGAN,DB/LB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-levels,Patrick Levels,DB/LB,,22.0,1.0,5.0,5.0,22.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richie-leone,Richie Leone,K,,,,,,,,,,,,,,,,,,,,64.0,4.0,4.0,65.0,234.0,,,,,,,,,,,,,,
ryan-davis,Ryan Davis,DB/DL,,,,,,,,,,,,,,,9.0,4.0,5.0,10.0,27.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,
