player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
akwasi-owusu-ansah,Akwasi Owusu-Ansah,DB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-coombs,Anthony Coombs,WR,,,,,,,,,,,,,,,,,15.0,4.0,5.0,,17.0,42.0,,,,,,,,,,,,,,,,,,,,,
anthony-orange,Anthony Orange,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armanti-edwards,Armanti Edwards,WR,,,,,,,,,,,,,,,,,15.0,2.0,3.0,,16.0,24.0,15.0,3.0,,,42.0,,,,,,,,,,,,,,,,
avery-ellis,Avery Ellis,DB/DE/DL,,,1.0,2.0,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,,,,,,23.0,6.0,11.0,,18.0,67.0,8.0,1.0,1.0,,8.0,,,,,,,,,,,,,,,,
brandon-harris,Brandon Harris,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-whitaker,Brandon Whitaker,RB,,,,,,,,,,,,,,,,,17.0,4.0,4.0,,26.0,28.0,,,,,,7.0,15.0,,26.0,,,,,,,,,,,,
brett-maher,Brett Maher,K,,,,,,,,,,,,,,,,,,,,,,,69.0,4.0,4.0,62.0,263.0,,,,,,,,5.0,,,3.0,1.0,36.0,4.0,1.0,1.0
cassius-vaughn,Cassius Vaughn,DB,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
chandler-worthy,Chandler Worthy,WR,,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,,,20.0,,,,,,,,,,,,,,,,
cleyon-laing,Cleyon Laing,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devier-posey,DeVier Posey,WR,,,,,,,,,,,,,,,,,14.0,7.0,11.0,1.0,20.0,62.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
diontae-spencer,Diontae Spencer,WR,,,,,,,,,,,,,,,,,25.0,4.0,4.0,,36.0,47.0,42.0,5.0,,,122.0,,,,,,,,,,,,,,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,,,,,,38.0,10.0,11.0,1.0,29.0,170.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
imoan-claiborne,Imoan Claiborne,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-wilder-jr,James Wilder Jr.,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,30.0,,34.0,,,,,,,,,,,,
jeffrey-finley,Jeffrey Finley,DB,,,2.0,2.0,2.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
