player_id,player_name,positions,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
albany-qb,ALBANY QB,QB,,1.0,4.0,129.0,,,,2.0,19.0
adrian-adams,Adrian Adams,WR,,,,,0.0,50.0,6.0,,
billings-qb,BILLINGS QB,QB,,2.0,3.0,187.0,,,,,12.0
braeden-wingle,Braeden Wingle,QB,,2.0,2.0,155.0,,,,,
darien-townsend,DARIEN TOWNSEND,WR,,,,,4.0,72.0,4.0,,
duane-brown,DUANE  BROWN,WR,,,,,2.0,128.0,12.0,,
desmond-maxwell,Desmond  Maxwell,RB,,,,,,,,0.0,2.0
isaiah-scott,Isaiah Scott,WR,,,,,2.0,58.0,4.0,,
jamaar-moore,Jamaar Moore,WR,,,,,4.0,46.0,8.0,,
jevin-frett,Jevin Frett,WR,,,,,2.0,148.0,12.0,,
keith-nemasango,Keith Nemasango,RB,,,,,,,,0.0,12.0
kenneth-brewer,Kenneth Brewer,WR,,,,,,21.0,3.0,,
sam-castronova,Sam Castronova,QB,1.0,,4.0,129.0,,,,2.0,19.0
shawn-mcfarland,Shawn Mcfarland,RB,,,,,0.0,88.0,2.0,0.0,16.0
