player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
alex-bazzie,Alex Bazzie,DB/DL,1.0,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin-joyner,Austin Joyner,LB/DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,26.0,20.0,46.0,14.0,2.0,3.0,264.0,,,,,,,,,,,,,,,,,,,,,,,,,
boseko-lokombo,Boseko Lokombo,LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branden-dozier,Branden Dozier,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,19.0,2.0,4.0,,3.0,34.0,,,,,,,,,,,,,,,,,,,
cody-grace,Cody Grace,K/P,,,,,,,,,,,,,,,,,,50.0,3.0,2.0,,132.0,,,,,,,,,,,,,,
colton-hunchak,Colton Hunchak,WR,,,,,,,,,,,,8.0,2.0,2.0,,8.0,16.0,,,,,,,,,,,,,,,,,,,
darnell-sankey,Darnell Sankey,LB,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DB/DL,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,,,,35.0,6.0,7.0,,25.0,111.0,,,,,,,,,,,,,,,,,,,
garry-peters,Garry Peters,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hakeem-johnson,Hakeem Johnson,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hergy-mayala,Hergy Mayala,WR,,,,,,,,,,,,8.0,2.0,3.0,,5.0,12.0,,,,,,,,,,,,,,,,,,,
isaac-adeyemi-berglund,Isaac Adeyemi-Berglund,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-maier,Jake Maier,QB,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,,3.0,,,,,,,,,,
jamar-wall,Jamar Wall,DB,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jameer-thurman,Jameer Thurman,LB/DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-butler,James BUTLER,RB,,1.0,1.0,,,,,,,,,13.0,7.0,7.0,,31.0,36.0,24.0,5.0,,,92.0,11.0,17.0,,89.0,,,,,,,,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,,,,,6.0,10.0,1.0,37.0,70.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
jonathan-moxey,Jonathan Moxey,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan-williams,Jordan Williams,LB/WR/OT/MLB/DL/DE,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-banks,Josh Banks,DB/DL,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kadeem-carey,Ka\'Deem CAREY,RB,,,,,,,,,,,,10.0,1.0,2.0,,10.0,10.0,,,,,,15.0,12.0,1.0,85.0,,6.0,1.0,1.0,,,,,,
kamar-jorden,Kamar Jorden,WR,,,,,,,,,,,,46.0,3.0,3.0,,25.0,71.0,,,,,,,,,,,,,,,,,,,
kiante-hardin,Kiante Hardin,DB/CB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucky-whitehead,Lucky Whitehead,WR,,,,,,,,,,,,19.0,7.0,8.0,,38.0,57.0,,2.0,,,,,,,,,,,,,,,,,
malik-henry,Malik Henry,WR,,,,,,,,,,,,,2.0,3.0,1.0,18.0,18.0,35.0,5.0,,,148.0,,,,,1.0,6.0,,1.0,,,,,,
marcus-sayles,Marcus Sayles,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
markeith-ambles,Markeith Ambles,WR,,,,,,,,,,,,10.0,3.0,3.0,1.0,6.0,18.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
mike-reilly,Mike Reilly,QB,,,,,37.0,30.0,35.0,7.0,2.0,1.0,340.0,,,,,,,,,,,,6.0,11.0,,31.0,,,,,,,,,,
mike-rose,Mike Rose,LB/DB/MLB/DL,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nathan-rourke,Nathan ROURKE,QB,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,12.0,1.0,13.0,,6.0,1.0,1.0,,,,,,
nick-vogel,Nick Vogel,K,,,,,,,,,,,,,,,,,,80.0,6.0,5.0,148.0,404.0,,,,,,11.0,,,3.0,3.0,39.0,11.0,2.0,2.0
obum-gwacham,Obum Gwacham,DE/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raheem-wilson,Raheem Wilson,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reggie-begelton,Reggie BEGELTON,WR,,,,,,,,,,,,38.0,7.0,11.0,1.0,15.0,119.0,,,,,,1.0,21.0,,21.0,1.0,6.0,,1.0,,,,,,
rene-paredes,René Paredes,K,,,,,,,,,,,,,,,,,,65.0,5.0,5.0,92.0,309.0,,,,,,9.0,,,2.0,2.0,44.0,9.0,4.0,3.0
richard-leonard,Richard Leonard,DB,1.0,4.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shaquille-johnson,Shaquille Johnson,WR,,1.0,1.0,,,,,,,,,29.0,2.0,2.0,,22.0,32.0,,,,,,,,,,,,,,,,,,,
shawn-lemon,Shawn Lemon,DE/DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-flintoft,Stefan Flintoft,K/P,,,,,,,,,,,,,,,,,,47.0,2.0,2.0,14.0,87.0,,,,,,,,,,,,,,
tj-lee,T.J. Lee,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tim-bonner,Tim Bonner,DE/DB/DL,1.0,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tre-roberson,Tre Roberson,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yurik-bethune,Yurik Bethune,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
