player_id,player_name,positions,fg_made,pass_td,recv_td
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,1.0,,
dequan-dudley,DeQuan  Dudley,WR,1.0,,
devante-wright,Devante Wright,DL,,,1.0
romeo-roberts,Romeo Roberts,WR,,2.0,
tyler-cassel,Tyler Cassel,DL,,,1.0
