player_id,player_name,positions,assist_tackles,completions,fg_20_29,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
aj-tarpley,A.J. Tarpley,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,
andrew-franks,Andrew Franks,K,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-johnson,Anthony Johnson,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
anthoula-kelly,Anthoula Kelly,DB/CB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,
bobby-richardson,Bobby Richardson,DT/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
cardale-jones,Cardale Jones,QB,,9.0,,,,,,,1.0,,,,,22.0,,72.0,,,,,,,,,,,,,,,,,,,
colin-thompson,Colin Thompson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,,,,,,,1.0
dallas,Dallas,,,,,,,,20.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
daniel-williams,Daniel Williams,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,7.0,,,,,,,3.0
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,2.0,24.0,,122.0,,,,1.0
deandre-goolsby,Deandre Goolsby,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,41.0,3.0,,,,,1.0,1.0,3.0
deion-harris,Deion Harris,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
deion-holliman,Deion Holliman,WR,,,,,,,,,,,6.0,21.0,113.0,,,,,,,,,,,,,,,,,,,,,,
deiontrez-mount,Deiontrez Mount,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
demontre-hurst,Demontre Hurst,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
des-lawrence,Des Lawrence,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,
donnel-pumphrey,Donnel Pumphrey,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,3.0,7.0,,34.0,,,,1.0
donnie-ernsberger,Donnie Ernsberger,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
doran-grant,Doran Grant,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
eli-rogers,Eli Rogers,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,4.0,,,,,,,1.0
elijah-qualls,Elijah Qualls,DL/DT/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
houston,Houston,,,,,,,6.0,27.0,9.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
hunter-niswander,Hunter Niswander,P,,,,,,,,,,,,,,,,,,,46.0,62.0,,322.0,7.0,24.0,4.0,,,,,,,,,,
jacques-patrick,Jacques Patrick,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.0,108.0,,,,
jake-schum,Jake Schum,P,,,,,,,,,,,,,,,,,,,51.0,51.0,,51.0,1.0,,,,,,,,,,,,
jalen-tolliver,Jalen Tolliver,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,4.0,,,,,,,3.0
jameer-thurman,Jameer Thurman,DB/LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
jason-neill,Jason Neill,DT/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
jay-bromley,Jay Bromley,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
jonathan-celestin,Jonathan Celestin,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,12.0,
jonathan-massaquoi,Jonathan Massaquoi,DL/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
josh-banks,Josh Banks,DL/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
kalani-vakameilalo,Kalani Vakameilalo,DT/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
keshun-freeman,KeShun Freeman,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,
kenny-bigelow,Kenny Bigelow,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
khari-lee,Khari Lee,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
los-angeles,Los Angeles,,,,,,,,14.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
lucas-wacha,Lucas Wacha,DB/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
marcelis-branch,Marcelis Branch,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
matt-elam,Matt Elam,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,
micah-hannemann,Micah Hannemann,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
new-york,New York,,,,,,,3.0,17.0,11.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
nick-brossette,Nick Brossette,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,12.0,,,,
nikita-whitlock,Nikita Whitlock,DT/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
obum-gwacham,Obum Gwacham,DE/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,
peli-anau,Peli Anau,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
rahim-moore,Rahim Moore,DB,1.0,,,,,6.0,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
rashad-ross,Rashad Ross,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,3.0,,,,,1.0,1.0,1.0
reece-horn,Reece Horn,WR,,,,,,,,,,,,,,,,,4.0,4.0,,,1.0,,,,,,23.0,5.0,,,,,,,1.0
reggie-northrup,Reggie Northrup,DB/LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,
ryan-davis,Ryan Davis,DL/DB,,,,,,,,,,,1.0,25.0,25.0,,,,10.0,20.0,,,3.0,,,,,,6.0,2.0,,,,,,,
sam-montgomery,Sam Montgomery,DL/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
scooby-wright,Scooby Wright,DB/LB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,
seattle,Seattle,,,,,,,6.0,16.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
shamarko-thomas,Shamarko Thomas,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
simmie-cobbs,Simmie Cobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
st-louis,St. Louis,,,,,,,3.0,23.0,6.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
total,TOTAL,WR,8.0,24.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,25.0,25.0,31.0,1.0,211.0,10.0,24.0,51.0,51.0,4.0,51.0,1.0,,,1.0,211.0,24.0,49.0,2.0,266.0,2.0,28.0,36.0,12.0
tampa-bay,Tampa Bay,,,,,,,3.0,25.0,9.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
tarvarus-mcfadden,Tarvarus McFadden,DB,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
taylor-cornelius,Taylor Cornelius,QB,,24.0,,,,,,,1.0,,,,,31.0,1.0,211.0,,,,,,,,,,,,,4.0,1.0,36.0,,,,
terrance-plummer,Terrance Plummer,DB/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tracy-sprinkle,Tracy Sprinkle,DL/DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,
tyree-jackson,Tyree Jackson,RB,,1.0,,,,,,,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,
tyree-kinnel,Tyree Kinnel,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
