player_id,player_name,positions,assisted_tackles,blocks,fg_attempts,field_goal_long,field_goals_made,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
adyn-schwarzer,Adyn Schwarzer,LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,,
asi-tupua,Asi Tupua,DL,1.0,,,,,,5.0,,,,,,,14.6,44.0,1.0,73.0,,,,,,,13.3,28.0,1.0,53.0,4.0,,,,,,,,0.0,1.0,,,,
brandon-munoz,Brandon Munoz,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,0.0,,
byron-cooper,Byron Cooper,LB,,,,,,0.0,,,,,,,,,,,,23.0,15.0,,36.0,4.0,182.0,,,,,,0.8,4.0,4.0,1.0,3.0,,,,,,,,
carlton-watkins,Carlton Watkins,DB,,,1.0,27.0,1.0,,,11.0,45.4,0.0,2.0,545.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0
damion-barber,Damion Barber,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,,,,
demario-mays,Demario Mays,DB,,,,,,,5.0,,,,,,,25.8,50.0,1.0,129.0,,,,,,,5.5,6.0,0.0,11.0,2.0,4.1,10.0,7.0,2.0,29.0,,,,,,,,
demoni-boyd,Demoni Boyd,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
drew-prohaska,Drew Prohaska,RB,,,,,,0.0,,,,,,,,,,,,21.0,16.0,,28.0,6.0,185.0,,,,,,1.7,10.0,10.0,1.0,17.0,,,,,,,,
fred-hardgrove,Fred Hardgrove,DB,,,,,,,3.0,,,,,,,13.3,18.0,0.0,40.0,,,,,,,10.7,16.0,1.0,32.0,3.0,4.0,6.0,2.0,1.0,8.0,,,,,,,,
garrett-pemelton,Garrett Pemelton,DL,2.0,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,10.3,11.0,2.0,31.0,3.0,,,,,,,,1.0,3.0,,,,
giovanni-sanders,Giovanni Sanders,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
grant-russell-injured-reserve,Grant Russell (Injured Reserve),QB,,,,,,,,,,,,,,,,,,,,,,,,13.7,36.0,2.0,82.0,6.0,7.0,12.0,2.0,0.0,14.0,,,,,,,,
horatio-smith,Horatio Smith,WR,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,6.0,10.0,1.0,0.0,,
isaiah-lewis,Isaiah Lewis,DB/DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
jadon-johnson,Jadon Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,11.5,24.0,2.0,69.0,6.0,,,,,,,,,,,,,
jalen-hicks,Jalen Hicks,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
james-riddle,James Riddle,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
kearyn-taylor,Kearyn Taylor,ATH,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,5.0,,,,
keith-wright-jr,Keith Wright Jr,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
khalil-finley,Khalil Finley,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,,,,
luiz-ferreira,Luiz Ferreira,K,,,,,,,,,,,,,,,,,,,,,,,,14.3,26.0,1.0,57.0,4.0,,,,,,,,,,,,,
michael-cotton,Michael Cotton,ATH,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,
michael-jenkins,Michael Jenkins,DB,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
miqueal-pillow-smiley,Miqueal Pillow-Smiley,DL,,,,,,,,,,,,,,,,,,,,,,,,4.5,8.0,1.0,9.0,2.0,3.2,10.0,13.0,2.0,41.0,,,,,,,,
