player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
ben-derby,Ben Derby,K,,,,,,,,,7.0,40.1,0.0,0.0,321.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,9.8,20.0,1.0,49.0,5.0,3.7,10.0,21.0,2.0,78.0,1.0,1.0,1.0,0.0,,
caleb-streat,Caleb Streat,,0.0,1.0,0.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
calvin-lowe,Calvin Lowe,WR,,,,,,,2.0,,,,,,,,,,,,24.0,16.0,,29.0,4.0,187.0,,,,,,3.7,10.0,12.0,2.0,44.0,,,,,,
charles-reid,Charles Reid,DB,,,,,,,,,8.0,37.5,0.0,0.0,300.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0
charles-smith,Charles Smith,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
christan-horn,Christan Horn,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
cornel-jones,Cornel Jones,LB,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,5.0,,,,
davon-banks,Davon Banks,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
demetrich-anderton,Demetrich Anderton,OL,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,4.0,,,,
dreko-statham,Dreko Statham,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,1.0,0.0,,
guillermo-serrano,Guillermo Serrano,QB,,,,,,,,,,,,,,,,,,,,,,,,,18.0,29.0,2.0,72.0,4.0,,,,,,,,,,,
jordan-semanat,Jordan Semanat,DB,0.0,,,,,,0.0,3.0,,,,,,,24.7,50.0,1.0,74.0,1.0,1.0,,2.0,1.0,2.0,,,,,,0.5,1.0,2.0,1.0,1.0,1.0,1.0,,,,
joshua-hollins,Joshua Hollins,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,18.0,0.0,50.0,5.0,,,,,,1.0,1.0,,,,
kameronn-joseph,Kameronn Joseph,WR,6.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,8.0,,,,
kendrick-washington,Kendrick Washington,DL/OL/DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,0.0,,
kevin-simmons,Kevin Simmons,DB,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,1.0,16.0,1.0,,,,,,,,,,,
khalil-steward-injured-reserve,Khalil Steward (Injured Reserve),DB,,,,,,,,3.0,,,,,,,30.0,38.0,0.0,90.0,,,,,,,6.0,8.0,0.0,18.0,3.0,2.6,5.0,9.0,2.0,23.0,,,,,,
kyle-griswould,Kyle Griswould,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,,,,
levonta-hall,Levonta Hall,DB,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,,,,,,,28.0,36.0,1.0,56.0,,,,,,,,,,,,,,,,,4.0,5.0,,,,
marcus-rogers,Marcus Rogers,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.8,27.0,2.0,47.0,4.0,2.7,8.0,3.0,0.0,8.0,1.0,1.0,1.0,0.0,,
mykell-yancie,Mykell Yancie,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,,,,
