player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_ir,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adrian-tracy,Adrian Tracy,DL/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexandre-dupuis,Alexandre Dupuis,RB/FB,,,,,,,,,,,,,,,,,,14.0,1.0,1.0,,7.0,14.0,,,,,,,,,,,,,,,,,,,,,,
andre-durie,Andre Durie,SB/WR,,,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
andrew-fantuz,Andrew Fantuz,WR,,,,,,,,,,,,,,,,,,25.0,5.0,5.0,,1.0,48.0,,,,,,,,,,1.0,,,,2.0,,,,,,,,
anthony-coombs,Anthony Coombs,WR,,,,,,,,,,,,,,,,,,21.0,2.0,3.0,,15.0,20.0,,,,,,,,,,,,,,,,,,,,,,
anthony-orange,Anthony Orange,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-woodson,Anthony Woodson,RB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,8.0,,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,,,,,,14.0,2.0,2.0,1.0,5.0,17.0,42.0,4.0,,,103.0,,,,,,,,1.0,6.0,,1.0,,,,,,
brandon-isaac,Brandon Isaac,LB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-sermons,Brandon Sermons,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-whitaker,Brandon Whitaker,RB,,,,,,,,,,,,,,,,,,18.0,6.0,6.0,1.0,28.0,39.0,,,,,,8.0,13.0,,50.0,,,,1.0,6.0,,1.0,,,,,,
brett-maher,Brett Maher,K,,,,,,,,,,,,,,,,,,,,,,,,73.0,8.0,8.0,189.0,559.0,,,,,,,,,11.0,,,2.0,2.0,39.0,11.0,5.0,5.0
cj-gable,C.J. Gable,RB,,,,,,,,,,,,,,,,,,12.0,3.0,4.0,,24.0,28.0,,,,,,12.0,53.0,,135.0,,,,,,,,,,,,,
co-prime,C.O. Prime,RB,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
cassius-vaughn,Cassius Vaughn,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,28.0,3.0,,,53.0,,,,,,,,,,,,,,,,,
chad-owens,Chad Owens,WR,,,,1.0,,1.0,,,,,,,,,,,,28.0,6.0,7.0,1.0,1.0,63.0,,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
chris-davis,Chris Davis,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courtney-stephen,Courtney Stephen,DB,1.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dan-lefevour,Dan LeFevour,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,3.0,,,,,,,,,,,,,
declan-cross,Declan Cross,RB/FB,,,,,,,,,,,,,,,,,,5.0,1.0,1.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,
delano-johnson,Delano Johnson,DL/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devon-wylie,Devon Wylie,WR,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.0,,,18.0,,,,,,,,,,,,,,,,,
diontae-spencer,Diontae Spencer,WR,,,,,,,,,,,,,,,,,,65.0,8.0,10.0,,60.0,132.0,5.0,1.0,,,5.0,,,,,,,,,,,,,,,,,
dominique-ellis,Dominique Ellis,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emanuel-davis,Emanuel Davis,DB,1.0,,,2.0,1.0,2.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
frédéric-plesius,Frédéric Plesius,LB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,7.0,,,,,6.0,1.0,1.0,,,,,,
joe-rankin,Joe Rankin,DB,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-chick,John Chick,DE/DB,,,1.0,2.0,,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-mitchell,Josh Mitchell,DB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-hickman,Justin Hickman,DE/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
