player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,interceptions,kicking_deuce,kicking_pat,kicking_pat_att,kicking_pat_pct,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
aakiel-greer,Aakiel Greer,WR,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,18.0,29.0,0.0,0.0,1.0,53.0,3.0,,,,,,,,0.0,1.0
abu-bangura-ii,Abu Bangura II,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
byron-edwards,BYRON EDWARDS,WR,3.0,,2.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
brandon-hendrix-jr,Brandon Hendrix Jr.,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
brandon-lombana,Brandon Lombana,WR,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
brent-reis,Brent Reis,K,,,,,,,,0.0,0.0,0.0,0.0,,,,1.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
david-haney,David Haney,WR,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
deshon-williams,Deshon  Williams,TE/WR,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,26.0,46.0,0.0,0.0,4.0,155.0,6.0,,,,,,,,0.0,1.0
donte-reed,Donte Reed,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0
eric-phoenix,Eric Phoenix,QB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,1.0,1.0,29.0,29.0,0.0,158.0,0.0,1.0,29.0,0.0,,,,,,,,,,,,,,,0.0,3.0
eugene-ford,Eugene Ford,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
ijaaz-rashid,Ijaaz Rashid,JLB/WR,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
jaiave-magalei,Jaiave Magalei,QB,,324.0,,,,,,,,,,,,3.0,,,,,34.0,11.0,46.0,17.0,0.0,54.0,0.0,4.0,186.0,0.0,,,,,,,,10.0,10.0,0.0,2.0,0.0,0.0,19.0,,
jaylon-tucker,Jaylon Tucker,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,0.0,0.0,7.0,1.0,,,,,,,,,
jordan-washington,Jordan Washington,,0.0,,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
jovohn-tucker,Jovohn Tucker,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,15.0,0.0,0.0,1.0,87.0,8.0,,,,,,,,,
justin-olibrice,Justin Olibrice,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.0,12.0,2.0,,,,,,,,,
kellen-pachot,Kellen Pachot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,23.0,0.0,0.0,0.0,53.0,4.0,,,,,,,,,
lance-desorbo,Lance Desorbo,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
luis-ferreira,Luis Ferreira,K,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,1.0,4.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
machiah-lee,Machiah Lee,DB,1.0,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
marquis-lawson,Marquis Lawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,0.0,0.0,0.0,12.0,1.0,,,,,,,,,
rudy-johnson,Rudy Johnson,QB,,478.0,,,,,,,,,,,,3.0,,,,,46.0,22.0,23.0,9.0,0.0,63.0,1.0,4.0,207.0,0.0,,,,,,,,,,,,,,,,
simeon-burns,Simeon Burns,DB,2.0,,1.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
trayvon-watson-sr,Trayvon Watson Sr,,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
tyler-stevens,Tyler Stevens,WR,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
tywon-buckley,Tywon Buckley,WR,3.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
undra-hendrix,Undra Hendrix,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,11.0,0.0,8.0,0.0,1.0,37.0,,
vincent-strange-jr,Vincent Strange Jr.,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,18.0,0.0,0.0,2.0,34.0,5.0,,,,,,,,,
