player_id,player_name,positions,def_ast,def_sack,def_solo,def_tot,def_ydsl,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_yds
greg-milhouse,Greg Milhouse,DB,1.0,1.0,3.0,4.0,3.0,,,,,,,,
marshaun-coprich,Marshaun Coprich,RB/WR,,,,,,5.0,1.0,1.0,1.0,5.0,2.0,3.0,6.0
