player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-brown,A.J. Brown,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
andre-thomas-cobb,Andre Thomas-Cobb,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,1.0,1.0,1.0,0.0,,
ashton-henry,Ashton Henry,K,1.0,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,6.0,7.0,1.0,0.0,,
austin-neufeld,Austin Neufeld,,0.0,,,1.0,0.0,0.0,,,,,,1.0,44.0,0.0,0.0,264.0,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0
bizzet-woodley,Bizzet Woodley,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,30.0,1.0,55.0,4.0,,,,,,,,,,,,,
byron-cooper,Byron Cooper,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
cameron-alves,Cameron Alves,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,2.0,1.0,0.0,,
damian-francis,Damian Francis,ATH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,2.0,4.0,1.0,0.0,,
deshawn-lynch,DeShawn Lynch,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
deandre-churchill,Deandre Churchill,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,0.0,11.0,1.0,4.0,4.0,1.0,0.0,4.0,,,,,,,,
demario-mays,Demario Mays,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
demry-croft,Demry Croft,QB,,,,,,,,,,,2.0,,,,,,,11.5,13.0,0.0,23.0,,,,,,,8.5,17.0,0.0,17.0,2.0,3.2,10.0,11.0,0.0,35.0,,,,,,,,
dontrell-lucky-morrison,"Dontrell ""Lucky"" Morrison",DL,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,5.0,,,,
ed-smith-jr,Ed Smith Jr.,WR,,,,,,,,,,,5.0,,,,,,,21.0,50.0,1.0,105.0,,,,,,,20.3,37.0,2.0,81.0,4.0,2.8,4.0,4.0,1.0,11.0,,,,,,,,
evan-lewandowski,Evan Lewandowski,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
fred-hardgrove,Fred Hardgrove,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,
horatio-smith,Horatio Smith,WR,,,,,,,,,,0.0,,,,,,,,,,,,7.0,5.0,,30.0,1.0,68.0,,,,,,1.1,8.0,9.0,2.0,10.0,,,,,,,,
jahoiyakim-afoa,Jahoiyakim Afoa,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,12.0,2.0,1.0,22.0,,,1.0,1.0,1.0,0.0,,
james-riddle,James Riddle,LB,,,,,,,,,,,3.0,,,,,,,10.0,16.0,0.0,30.0,,,,,,,5.0,11.0,0.0,15.0,3.0,,,,,,,,,,,,,
jerrime-neal,Jerrime Neal,WR,,,,1.0,0.0,0.0,,,,,,7.0,47.0,0.0,1.0,423.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0
john-williams,John Williams,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,7.0,,,,
maleek-jones,Maleek Jones,WR,,,,,,,,,,0.0,,,,,,,,,,,,11.0,9.0,,37.0,4.0,97.0,,,,,,2.2,5.0,6.0,1.0,13.0,,,,,,,,
marvin-taylor,Marvin Taylor,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
myran-mounds,Myran Mounds,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,5.0,1.0,7.0,7.0,1.0,0.0,7.0,,,,,,,,
ryan-nixon,Ryan Nixon,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
sam-hammond,Sam Hammond,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,27.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,
shay-roberts,Shay Roberts,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,4.0,,,,
shyron-rodgers,Shyron Rodgers,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,1.0,2.0,2.0,1.0,0.0,,
steven-newbold,Steven Newbold,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,1.0,18.0,2.0,,,,,,,,1.0,1.0,,,,
steven-parker,Steven Parker,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,3.0,0.0,,
terrance-mcclain-jr,Terrance McClain Jr.,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
tony-kennedy,Tony Kennedy,OL,,,,,,,,,,1.0,,,,,,,,,,,,17.0,7.0,,27.0,1.0,72.0,,,,,,2.5,14.0,6.0,0.0,15.0,,,,,,,,
