player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-davis,Aj Davis,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,3.0,0.5,1.0,,
chris-perry,Chris Perry,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.5,4.0,8.0,1.5,13.0,,
cole-lundy,Cole Lundy,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,34.0,2.0,53.0,4.0,4.5,8.0,2.0,1.0,9.0,,,,,,,,
damond-powell,Damond Powell,WR,,,,,,,,,,,,,,,,2.0,,,,,,,16.5,22.0,0.0,33.0,,,,,,,,10.0,11.0,0.0,20.0,2.0,4.5,13.0,12.0,2.0,54.0,,,,,,,,
desmond-grace,Desmond Grace,DB,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,,,,
duke-williams,Duke Williams,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
erick-young,Erick Young,RB,2.0,2.0,0.0,,,,,,,,,17.5,31.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
fred-bruno,Fred Bruno,WR,,,,,,,,,,1.0,0.0,,,,1.0,,,,,,,,,,,,14.0,8.0,,34.0,3.0,87.0,,,,,,,7.0,17.0,7.0,0.0,49.0,,,,,,,,
giovanni-sanders,Giovanni Sanders,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,21.0,0.0,28.0,2.0,3.7,10.0,6.0,1.0,22.0,,,2.0,2.0,,,,
greg-conry,Greg Conry,K,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
isaiah-blackmon,Isaiah Blackmon,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,5.0,6.0,1.0,12.0,,
jack-robinson,Jack Robinson,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
jailin-singleton,Jailin Singleton,RB,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,5.0,,
jaylon-abdual-karim,Jaylon Abdual-Karim,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.0,0.0,15.0,2.0,,,,,,,,,,,,,
josh-jackson,Josh Jackson,DL/P,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,13.0,1.5,2.0,4.0,2.5,17.0,,
joshua-neal,Joshua Neal,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
juan-moore,Juan Moore,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,15.0,1.0,32.0,3.0,,,,,,,,,,,,,
