player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
aleksandrs-baranovskis,Aleksandrs Baranovskis,,1.0,1.0,0.0,7.0,3.0
arnis-veidemanis,Arnis Veidemanis,,1.0,1.0,0.0,7.0,3.0
bine-sever,Bine Sever,,0.0,1.0,1.0,3.0,7.0
janis-klive,Janis Klive,,1.0,1.0,0.0,7.0,3.0
marko-harb,Marko Harb,,0.0,1.0,1.0,3.0,7.0
noel-gregori,Noel Gregori,,0.0,1.0,1.0,3.0,7.0
rihards-jeske,Rihards Jeske,,1.0,1.0,0.0,7.0,3.0
roberts-buncis,Roberts Buncis,,1.0,1.0,0.0,7.0,3.0
simon-langus,Simon Langus,,0.0,1.0,1.0,3.0,7.0
stefan-sever,Stefan Sever,,0.0,1.0,1.0,3.0,7.0
