player_id,player_name,positions,extra_points,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,,,,,,6.0,1.0,,,
arkell-smith,Arkell Smith,WR,,,,,,,,,41.0,5.0,,,
binjimen-victor,Binjimen Victor,WR,,,,,,,,,31.0,2.0,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,1.0,,2.0,311.0,,,,,,,
brendan-oleary-orange,Brendan O\'LEARY-ORANGE,WR,,,,,,,,1.0,32.0,3.0,,,
cody-fajardo,Cody FAJARDO,QB,,,,,2.0,280.0,,,,,,16.0,
edm-dst,EDM DST,DST,,,,1.0,,,29.0,,,,,,1.0
edm-k,EDM K,K,2.0,140.0,,,,,,,,,,,
edm-qb,EDM QB,QB,,,0.0,,2.0,280.0,,,,,0.0,16.0,
greg-bell,Greg Bell,RB,,,,,,,,,39.0,8.0,,93.0,
ham-dst,HAM DST,DST,,,,,,,27.0,,,,,,3.0
ham-k,HAM K,K,2.0,200.0,,,,,,,,,,,
ham-qb,HAM QB,QB,,,1.0,,2.0,311.0,,,,,0.0,0.0,
javon-leake,Javon LEAKE,RB,,,,,,,,,14.0,1.0,,4.0,
justin-rankin,Justin Rankin,RB,,,,,,,,1.0,77.0,2.0,,41.0,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,35.0,5.0,,,
kenny-lawler,Kenny Lawler,WR,,,,,,,,1.0,46.0,3.0,,,
kiondre-smith,Kiondre SMITH,WR,,,,,,,,,89.0,7.0,,,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,1.0,60.0,4.0,,,
luther-hakunavanhu,Luther HAKUNAVANHU,WR,,,,,,,,,5.0,1.0,,,
odieu-hiliare,Odieu Hiliare,WR,,,,,,,,,22.0,2.0,,,
shemar-bridges,Shemar BRIDGES,WR,,,,,,,,,8.0,1.0,,,
tim-white,Tim WHITE,WR,,,,,,,,,84.0,5.0,,15.0,
tyler-ternowski,Tyler TERNOWSKI,WR,,,,,,,,,7.0,1.0,,,
