player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
a-ndiraya,A Ndiraya,,13.0,2.0,0.0,3.0,9.0,0.0,,,,,,,,1.0
c-chatonzwa,C Chatonzwa,,7.0,1.0,0.0,5.0,5.0,0.0,,,,,,,,1.0
e-mbofana,E Mbofana,,15.0,0.0,0.0,9.0,2.0,0.0,18.0,0.0,1.0,12.0,1.0,3.0,,1.0
f-chipare,F Chipare,,1.0,0.0,0.0,11.0,0.0,0.0,26.0,2.0,0.0,8.0,0.0,1.0,,1.0
fargana-hoque,Fargana Hoque,,3.0,0.0,1.0,5.0,0.0,0.0,,,,,,,,1.0
fariha-trisna,Fariha Trisna,,,,,,,,20.0,1.0,0.0,17.0,2.0,1.0,,1.0
j-nkomo,J Nkomo,,3.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,1.0
khadija-tul-kubra,Khadija Tul Kubra,,,,,,,,36.0,0.0,0.0,14.0,0.0,0.0,,1.0
l-phiri,L Phiri,,24.0,0.0,0.0,8.0,0.0,0.0,24.0,0.0,0.0,14.0,1.0,0.0,,1.0
lata-mondal,Lata Mondal,,,,,,,,24.0,0.0,0.0,12.0,0.0,2.0,,1.0
m-mupachikwa,M Mupachikwa,,29.0,0.0,0.0,1.0,9.0,0.0,,,,,,,,1.0
m-musonda,M Musonda,,3.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,1.0
murshida-khatun,Murshida Khatun,,48.0,5.0,1.0,1.0,39.0,0.0,,,,,,,,1.0
n-sibanda,N Sibanda,,3.0,0.0,1.0,10.0,0.0,0.0,30.0,0.0,1.0,25.0,1.0,1.0,,1.0
nahida-akter,Nahida Akter,,,,,,,,60.0,4.0,0.0,21.0,5.0,0.0,1.0,1.0
nigar-sultana,Nigar Sultana,,27.0,1.0,0.0,3.0,12.0,0.0,,,,,,,,1.0
nuzhat-tasnia,Nuzhat Tasnia,,24.0,0.0,0.0,2.0,10.0,0.0,,,,,,,1.0,1.0
rumana-ahmed,Rumana Ahmed,,,,,,,,24.0,0.0,0.0,7.0,2.0,0.0,,1.0
s-mostary,S Mostary,,10.0,0.0,0.0,4.0,1.0,0.0,,,,,,,,1.0
sm-mayers,SM Mayers,,61.0,4.0,0.0,2.0,39.0,0.0,,,,,,,,1.0
t-granger,T Granger,,5.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,15.0,0.0,5.0,,1.0
