player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
alexis-rosario,Alexis Rosario,RB/WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,0.0,16.0,1.0,2.0,2.0,1.0,0.0,2.0,,,2.0,3.0,,,,
ben-pister,Ben Pister,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
brian-robinson,Brian Robinson,RB/WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,2.0,1.0,21.0,,
camerion-carrathus,Camerion Carrathus,WR,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,4.0,3.0,,12.0,0.0,21.0,,,,,,,,,,,,,,,,,,,
cedric-hearvey,Cedric Hearvey,DL,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,0.0,12.0,1.0,2.0,9.0,9.0,0.0,18.0,,,,,,,,
charles-baker,Charles Baker,OL,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7.3,14.0,0.0,22.0,3.0,,,,,,,,1.0,2.0,,,0.0,0.0
christian-stokley,Christian Stokley,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,
daizion-carroll,Daizion Carroll,OL,0.0,,,,,,,,,1.0,0.0,,,,2.0,,,,,,,,,,,,21.0,10.0,,36.0,2.0,158.0,,,,,,,3.0,28.0,8.0,1.0,24.0,,,1.0,1.0,,,,
damon-stokes,Damon Stokes,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,0.0,18.0,2.0,,,,,,,,,,,,,
david-ross,David Ross,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
dayjure-stewart,Dayjure Stewart,RB,0.0,1.0,0.0,,,,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,
devontae-tinsley,Devontae Tinsley,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,36.0,2.0,84.0,5.0,,,,,,,,1.0,1.0,,,,
donovan-johnson,Donovan Johnson,WR,4.0,1.0,0.0,,,,,,,,,9.0,9.0,9.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,5.0,9.0,,,,
dustin-hurst,Dustin Hurst,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,1.0,8.0,,
gibson-ziah,Gibson Ziah,DL,,,,4.0,41.0,2.0,,,,,,,,,,,6.0,50.7,0.0,0.0,152.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamarii-milliken,Jamarii Milliken,DB/LB,5.0,1.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,
james-summers,James Summers,QB/WR/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,0.0,10.0,2.0,,,,,,,,1.0,2.0,,,,
jared-bronson,Jared Bronson,OL,,,,,,,,,,,,,,,,7.0,,,,,,,25.4,37.0,0.0,178.0,,,,,,,,,,,,,4.0,4.0,1.0,0.0,4.0,,,,,,,,
jarmon-fortson,Jarmon Fortson,WR,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
jerry-harris-jr,Jerry Harris Jr.,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.5,2.0,4.0,2.0,6.0,,
jonathan-cardoza-chicas,Jonathan Cardoza-Chicas,K,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,18.0,6.0,,14.0,0.0,38.0,,,,,,,5.0,10.0,2.0,0.0,10.0,,,,,,,0.0,0.0
keontae-chavies,Keontae Chavies,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
kollin-jackson,Kollin Jackson,WR,0.0,,,2.0,54.0,2.0,,,,,,,,,,,8.0,52.6,0.0,0.0,368.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,4.0,2.0
lewis-matthews,Lewis Matthews,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,23.0,0.0,23.0,1.0,,,,,,,,0.0,1.0,,,,
marco-lee,Marco Lee,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,3.0,,
marcus-brooks,Marcus Brooks,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,2.0,5.0,,
matt-struck,Matt Struck,QB,4.0,1.0,0.0,,,,,1.0,17.0,,,18.0,18.0,18.0,,2.0,,,,,,,11.0,16.0,0.0,22.0,,,2.0,,,,,,,,,,,,,,,,,1.0,5.0,,,,
michael-miller,Michael Miller,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,1.0,,
nashawn-jackson,Nashawn Jackson,OL,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,1.0,1.0,1.0,6.0,,
pablo-lopez,Pablo Lopez,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,21.0,0.0,23.0,2.0,,,,,,,,2.0,3.0,,,,
ralph-green,Ralph Green,DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.5,2.0,6.0,1.0,4.0,,
reggie-young,Reggie Young,DB,1.0,1.0,0.0,,,,,,,,,5.0,5.0,5.0,,1.0,,,,,,,20.0,20.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
tabyus-taylor,Tabyus Taylor,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,7.0,0.0,9.0,2.0,4.3,26.0,8.0,1.0,34.0,,,1.0,1.0,,,,
tremell-gooden,Tremell Gooden,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
