player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
aone-nakamura,Aone Nakamura,,0.0,1.0,1.0,3.0,7.0
emma-waltenberger,Emma Waltenberger,,1.0,1.0,0.0,7.0,3.0
hana-ikeda,Hana Ikeda,,0.0,1.0,1.0,3.0,7.0
jule-lang,Jule Lang,,1.0,1.0,0.0,7.0,3.0
kohane-tsuruga,Kohane Tsuruga,,0.0,1.0,1.0,3.0,7.0
marina-schwarz,Marina Schwarz,,1.0,1.0,0.0,7.0,3.0
matilda-pyroth,Matilda Pyroth,,1.0,1.0,0.0,7.0,3.0
rin-suzuki,Rin Suzuki,,0.0,1.0,1.0,3.0,7.0
sara-messenzehl,Sara Messenzehl,,1.0,1.0,0.0,7.0,3.0
yuina-miura,Yuina Miura,,0.0,1.0,1.0,3.0,7.0
