player_id,player_name,positions,assist_tackles,completions,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50plus,fg_att_game,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,pass_attempts,passing_tds,passing_yards,pr_fc,punt_avg,punt_long,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,targets,xp_att_game
aj-tarpley,A.J. Tarpley,DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
akrum-wadley,Akrum Wadley,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,70.0,8.0,4.0,0.0,12.0,,8.0,
alex-barrett,Alex Barrett,DE/DB,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
barnes-tavaris,"Barnes, Tavaris",DL/DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,
bass-khalil,"Bass, Khalil",LB/DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
brandon-watts,Brandon Watts,DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
brian-brown,Brian Brown,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,27.0,3.0,1.0,0.0,4.0,,6.0,
bug-howard,Bug Howard,WR/TE,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
cameron-nizialek-2,Cameron Nizialek,,,,,,,,,,,,,,,,,,,,,,,,,49.0,55.0,0.0,196.0,4.0,0.0,0.0,,,,,,,,,
carlos-merritt,Carlos Merritt,DB,0.0,,,,,,,,,,,,,7.0,7.0,0.0,7.0,,1.0,,,,,,,,,,,,,,,,,,0.0,,
curtis-mikell,Curtis Mikell,DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
dean-david,"Dean, David",DT/DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
des-lawrence,Des Lawrence,DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
donatello-brown,Donatello Brown,DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
donny-hageman,Donny Hageman,,,,0.0,1.0,1.0,2.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
dontez-ford,Dontez Ford,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17.0,1.0,,,,,4.0,
ducre-greg,"Ducre, Greg",DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
dwayne-hollis,Dwayne Hollis,DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
ed-reynolds,Ed Reynolds,DB,4.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,6.0,,
eric-pinkins,Eric Pinkins,DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
folston-tarean,"Folston, Tarean",RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,20.0,,,
francis-owusu,Francis Owusu,WR,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,1.0,3.0,
gavin-escobar,Gavin Escobar,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,2.0,,,,,3.0,
gelen-robinson,Gelen Robinson,DL/DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
jaquan-gardner,Ja'Quan Gardner,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,1.0,15.0,2.0,104.0,,2.0,
james-kendall,"James, Kendall",DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
jones-jt,"Jones, J.T.",DL/DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
jones-malachi,"Jones, Malachi",WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,37.0,3.0,1.0,0.0,-2.0,,3.0,
jones-seantavius,"Jones, Seantavius",WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.0,3.0,,,,,7.0,
jordan-martin,Jordan Martin,DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
kameron-kelly-2,Kameron Kelly,WR,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,17.0,2.0,,,,1.0,3.0,
keshun-freeman,KeShun Freeman,DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
keith-towbridge,Keith Towbridge,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,2.0,
koloamatangi-meffy,"Koloamatangi, Meffy",DE/DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
kyron-johnson,Kyron Johnson,LB/OLB/DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,
luc-jeff,"Luc, Jeff",DL/DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,5.0,,
marcus-baugh,Marcus Baugh,WR/TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,1.0,,,,,2.0,
matt-simms,Matt Simms,QB,,17.0,,,,,,,,,,,,,,,,1.0,,25.0,1.0,160.0,,,,,,,,,,,,4.0,0.0,1.0,,,
montay-crockett,Montay Crockett,WR,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,24.0,2.0,,,,1.0,2.0,
moore-damontre,"Moore, Damontre",DL/DB,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
nelson-spruce,Nelson Spruce,WR,,,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,58.0,4.0,,,,,6.0,
nelson-philip,"Nelson, Philip",RB/QB,,14.0,,,,,,,0.0,0.0,2.0,2.0,0.0,,,,,1.0,,30.0,0.0,142.0,,,,,,,,,,,,6.0,0.0,28.0,,,
phillips-ervin,"Phillips, Ervin",WR,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,1.0,2.0,
pittman-lawrence,"Pittman, Lawrence",RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,42.0,,,
ron-brooks,Ron Brooks,DB,2.0,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,1.0,,
