player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
a-smith,A Smith,,,,,,,,6.0,0.0,0.0,7.0,0.0,1.0,1.0
ac-kerr,AC Kerr,,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,1.0
b-hepburn,B Hepburn,,,,,,,,12.0,0.0,0.0,17.0,0.0,0.0,1.0
b-vakarewa,B Vakarewa,,,,,,,,18.0,0.0,0.0,20.0,1.0,1.0,1.0
cl-tryon,CL Tryon,,15.0,2.0,1.0,2.0,26.0,2.0,12.0,0.0,0.0,14.0,0.0,1.0,1.0
dm-kimmince,DM Kimmince,,,,,,,,6.0,0.0,0.0,16.0,0.0,0.0,1.0
g-prestwidge,G Prestwidge,,,,,,,,6.0,0.0,0.0,2.0,0.0,0.0,1.0
g-redmayne,G Redmayne,,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,1.0
gm-harris,GM Harris,,13.0,2.0,1.0,4.0,13.0,0.0,,,,,,,1.0
hk-matthews,HK Matthews,,,,,,,,6.0,0.0,0.0,9.0,0.0,0.0,1.0
jl-jonassen,JL Jonassen,,27.0,4.0,1.0,2.0,29.0,0.0,6.0,0.0,0.0,13.0,0.0,0.0,1.0
ml-green,ML Green,,24.0,4.0,0.0,3.0,33.0,1.0,,,,,,,1.0
nj-carey,NJ Carey,,,,,,,,12.0,0.0,0.0,11.0,1.0,0.0,1.0
nm-hancock,NM Hancock,,,,,,,,6.0,0.0,0.0,9.0,0.0,1.0,1.0
rh-priest,RH Priest,,12.0,3.0,1.0,1.0,16.0,0.0,,,,,,,1.0
