player_id,player_name,positions,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
alonzo-gee,Alonzo Gee,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derrick-byars,Derrick Byars,P,2.0,0.0,0.0,1.0,0.0,4.0,0.0
dusan-bulut,Dusan Bulut,P,2.0,0.0,0.0,5.0,0.0,7.0,1.0
jamario-moon,Jamario Moon,P,3.0,0.0,0.0,0.0,0.0,5.0,0.0
jannero-pargo,Jannero Pargo,P,0.0,0.0,0.0,0.0,0.0,1.0,0.0
jeremy-pargo,Jeremy Pargo,P,3.0,1.0,0.0,5.0,0.0,2.0,0.0
joe-johnson,Joe Johnson,P,10.0,3.0,0.0,1.0,0.0,3.0,0.0
larry-sanders,Larry Sanders,P,3.0,0.0,0.0,1.0,1.0,7.0,2.0
tomislav-ivosev,Tomislav Ivosev,P,2.0,0.0,0.0,0.0,0.0,5.0,0.0
will-bynum,Will Bynum,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
