player_id,player_name,positions,interceptions_lost,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
abram-smith,Abram Smith,RB,,,,,,,,,,28.0,,
andre-mintze,Andre Mintze,LB/DE,,,,,,,,,,,,2.0
anthony-hines,Anthony Hines,LB,,,,,,,,,,,,1.5
anthoula-kelly,Anthoula Kelly,CB/DB,,,,,,,,,,,,6.0
antwuan-jackson,Antwuan Jackson,DL/DT,,,,,,,,,,,,2.0
artavis-pierce,Artavis PIERCE,RB,,,,,,,,,,,,0.5
austin-faoliu,Austin Faoliu,DL/DT,,,,,,,,,,,,2.5
ben-dinucci,Ben DiNucci,QB,2.0,1.0,,1.0,282.0,,,,,3.0,,
blake-jackson,Blake Jackson,WR,,,,,,,51.0,8.0,,,,
brenden-knox,Brenden Knox,RB,,,,,,,,,1.0,31.0,,
charlie-taumoepeau,Charlie Taumoepeau,TE,,,,,,,16.0,1.0,,,,
chris-blair,Chris Blair,WR,,,,,,,10.0,1.0,,,,
chris-jones,Chris Jones,DT/DB,,,,,,,,,,,,1.5
deriq-king,D\'Eriq King,QB,,,,,7.0,,,,1.0,14.0,,
damion-willis,Damion Willis,WR,,,,,,,3.0,1.0,,,,
dejuan-neal,DeJuan Neal,CB/DB,,,1.0,,,,,,,,,8.0
defenders-qb,Defenders QB,QB,1.0,,,,93.0,,,,2.0,23.0,,
emmanuel-smith-2,Emmanuel Smith,LB,,,,,,,,,,,,7.5
ethan-wolf,Ethan Wolf,TE,,,,,,,12.0,1.0,,,,
jacub-panasiuk,Jacub Panasiuk,DL,,,,,,,,,,,,3.0
jahcour-pearson,Jahcour Pearson,WR,,,,,,,95.0,12.0,,,,
jamal-brooks,Jamal Brooks,LB,,,,,,,,,,,1.0,5.0
jarrell-owens,Jarrell Owens,DL/DB,,,,,,,,,,,1.0,1.0
jequez-ezzard,Jequez Ezzard,WR,,,,,,,,,,3.0,,
jordan-evans,Jordan Evans,LB,,,,,,,,,,,,4.0
jordan-taamu,Jordan Ta\'amu,QB,1.0,,,,86.0,,,,1.0,9.0,,
jordan-veasy,Jordan Veasy,WR,,,,,,,22.0,2.0,,,,
josh-gordon,Josh Gordon,WR,,,,,,1.0,74.0,6.0,,,,
josh-hammond,Josh Hammond,WR,,,,,,,14.0,1.0,,,,
josh-malone,Josh Malone,WR,,,,,,,18.0,1.0,,,,
juwan-green,Juwan Green,WR,,,,,,,4.0,1.0,,,,
kelvin-mcknight,Kelvin McKnight,WR,,,,,,,19.0,4.0,,,,
kentrell-brice,Kentrell Brice,SAF/DB,,,,,,,,,,,,4.0
linden-stephens,Linden Stephens,DB,,,1.0,,,,,,,,,1.5
lucky-jackson,Lucky Jackson,WR,,,,,,,25.0,4.0,,,,
morgan-ellison,Morgan Ellison,RB,,,,,,,4.0,1.0,,17.0,,1.0
niko-lalos,Niko Lalos,DE/DL,,,1.0,,,,,,,,,1.5
pj-hall,P.J. Hall,DE/DL,,,,,,,,,,,,2.0
qwynnterrio-cole,Qwynnterrio Cole,FS/DB,,,,,,,,,,,,1.5
ryquell-armstead,Ryquell Armstead,RB,,,,,,,14.0,1.0,,30.0,,
santos-ramirez,Santos Ramirez,SAF/DB,,,1.0,,,,,,,,,4.0
sea-dragons-qb,Sea Dragons QB,QB,2.0,1.0,,1.0,288.0,,,,,3.0,,
steven-montez,Steven Montez,QB,,,,,6.0,,,,,,,
tre-walker-2,Tre Walker,LB,,,,,,,,,,,,3.0
tuzar-skipper,Tuzar Skipper,LB/OLB,,,,,,,,,,,,1.5
