player_id,player_name,positions,fg_made,pass_td,recv_td,rush_td
byron-cooper,Byron Cooper,LB,,,1.0,
cory-henry,Cory Henry,DL,,,1.0,
isaiah-robinson,Isaiah Robinson,WR,,,2.0,
jeremiah-flores,Jeremiah Flores,WR,,,,2.0
kaleb-macaway,Kaleb Macaway,WR,,,2.0,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,3.0,,
ricardo-barnett,Ricardo Barnett,DB,1.0,,,
rysan-richardson,Rysan Richardson,K,,1.0,,1.0
sammie-epps,Sammie Epps,WR,,1.0,,
sean-connaghan,Sean Connaghan,LB,1.0,,,
steven-newbold-jr,"Steven Newbold, Jr.",,,1.0,,
