player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
a-nel,A Nel,,,,,,,,36.0,0.0,0.0,63.0,0.0,2.0,,1.0
bc-lara,BC Lara,,37.0,6.0,1.0,5.0,59.0,1.0,,,,,,,,1.0
cd-collymore,CD Collymore,,,,,,,,60.0,0.0,1.0,52.0,0.0,2.0,,1.0
ch-gayle,CH Gayle,,22.0,2.0,0.0,1.0,26.0,2.0,60.0,0.0,2.0,53.0,1.0,3.0,1.0,1.0
dr-smith,DR Smith,,,,,,,,,,,,,,1.0,1.0
gc-smith,GC Smith,,62.0,6.0,0.0,1.0,46.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,,1.0
hh-dippenaar,HH Dippenaar,,45.0,4.0,0.0,5.0,30.0,0.0,,,,,,,,1.0
hh-gibbs,HH Gibbs,,27.0,1.0,0.0,2.0,18.0,0.0,,,,,,,,1.0
jh-kallis,JH Kallis,,97.0,7.0,1.0,4.0,95.0,2.0,42.0,0.0,0.0,37.0,1.0,2.0,,1.0
l-klusener,L Klusener,,38.0,2.0,1.0,6.0,41.0,1.0,48.0,0.0,0.0,51.0,0.0,0.0,,1.0
m-dillon,M Dillon,,,,,,,,54.0,0.0,1.0,58.0,1.0,1.0,,1.0
m-ntini,M Ntini,,,,,,,,42.0,0.0,0.0,51.0,0.0,0.0,,1.0
mv-boucher,MV Boucher,,,,,,,,,,,,,,1.0,1.0
r-rampaul,R Rampaul,,,,,,,,54.0,0.0,2.0,49.0,1.0,1.0,,1.0
rj-peterson,RJ Peterson,,43.0,4.0,0.0,3.0,36.0,0.0,36.0,0.0,0.0,45.0,0.0,0.0,1.0,1.0
rl-powell,RL Powell,,34.0,5.0,0.0,3.0,34.0,0.0,,,,,,,,1.0
ro-hurley,RO Hurley,,,,,,,,60.0,0.0,6.0,65.0,0.0,0.0,,1.0
rr-sarwan,RR Sarwan,,102.0,6.0,1.0,4.0,77.0,0.0,12.0,0.0,0.0,15.0,1.0,1.0,,1.0
s-chanderpaul,S Chanderpaul,,75.0,10.0,0.0,2.0,92.0,2.0,,,,,,,,1.0
sm-pollock,SM Pollock,,,,,,,,60.0,0.0,0.0,40.0,2.0,1.0,,1.0
