player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-brown,A.J. Brown,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
adrian-jefferson,Adrian Jefferson,RB,2.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.5,3.0,5.0,2.5,0.0,,
ben-pister,Ben Pister,DL,1.0,,,,,,,,,,,,,,,0.0,3.0,,,,,,,16.0,19.0,0.0,48.0,1.0,1.0,,14.0,0.0,14.0,,,,,,,,,,,,,5.0,6.0,,,,
ben-woodard,Ben Woodard,,,,,,4.0,41.0,2.0,,,,,,,,,,,7.0,42.6,0.0,1.0,298.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
benari-black,Benari Black,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,2.0,0.0,,
brian-robinson,Brian Robinson,RB/WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,2.0,,,,
carver-shamelle-dumas,Carver Shamelle Dumas,LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5,0.0,2.0,0.5,0.0,,
charles-reid,Charles Reid,DB,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,13.0,10.0,,18.0,2.0,97.0,,,,,,2.5,23.0,11.0,1.0,28.0,,,,,,,,
dwan-mathis,D'Wan Mathis,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,1.0,,10.0,0.0,10.0,,,,,,2.0,2.0,1.0,0.0,2.0,,,,,,,,
davonte-brown,Davonte Brown,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
dayjure-stewart,Dayjure Stewart,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
deshayvion-mcrath,De'Shayvion Mcrath,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
dominique-shoffner,Dominique Shoffner,QB,0.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,9.5,12.0,0.0,38.0,4.0,,,,,,,,2.0,2.0,,,,
dreko-statham,Dreko Statham,DB,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
greg-thomas-jr,Greg Thomas Jr,DB,,,,,,,,,,,,,,,,,2.0,,,,,,,10.0,15.0,0.0,20.0,,,,,,,10.7,18.0,2.0,32.0,3.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,
jarome-johnson,Ja\'Rome Johnson,QB,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,8.0,2.0,,8.0,0.0,16.0,,,,,,2.1,24.0,8.0,2.0,17.0,,,,,,,,
jaden-sutton,Jaden Sutton,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,2.0,1.0,0.0,,
jamezz-kimbrough,Jamezz Kimbrough,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
jerry-harris-jr,Jerry Harris Jr.,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
jo-el-shaw,Jo-El Shaw,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,6.0,0.0,9.0,2.0,3.0,11.0,7.0,0.0,21.0,,,,,,,,
jojo-earle,JoJo Earle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,8.0,1.0,6.3,11.0,3.0,0.0,19.0,,,,,,,,
john-williams,John Williams,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,28.0,5.0,1.0,39.0,,,,,,,,
josh-ellison,Josh Ellison,,1.0,1.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,
justin-mcgriff,Justin MCGRIFF,WR,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
kyle-meyers,Kyle Meyers,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
malik-sonnier,Malik Sonnier,DB,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,
