player_id,player_name,positions,def_ast,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_td,pass_yds,recv_rec,recv_tar,recv_td,recv_yds,score_p,score_pts,score_tot
azeem-victor,Azeem Victor,DB/LB/DL/OLB,1.0,,,1.0,,,,,,,,,,,,
earl-okine,Earl Okine,DB/LB/DL,2.0,1.0,3.0,5.0,5.0,,,,,,,,,,,
jalin-marshall,Jalin Marshall,WR,,,,,,1.0,1.0,1.0,5.0,3.0,4.0,1.0,51.0,1.0,6.0,1.0
