player_id,player_name,positions,fg_made,rush_td
demry-croft,Demry Croft,QB,5.0,
devery-smith,Devery Smith,WR,,1.0
neriyan-brown,Neriyan Brown,DB,3.0,
travis-anderson,Travis Anderson,OL,,1.0
tyler-cassel,Tyler Cassel,DL,,1.0
