player_id,player_name,positions,blocked_punt,conversions,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
braedon-bowman,Braedon Bowman,TE/WR,,,,,,,,,0.0,8.0,2.0,,,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,0.0,6.0,1.0,,,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,0.0,40.0,5.0,,,
danny-etling,Danny Etling,QB,,,,0.0,,0.0,0.0,,,,,0.0,13.0,
devin-gray,Devin Gray,WR,,,,,,,,,0.0,26.0,1.0,,,
ej-perry,E.J. Perry,QB,,2.0,,0.0,,1.0,208.0,,,,,2.0,60.0,
emmanuel-butler,Emmanuel Butler,WR,,1.0,,,,,,,0.0,63.0,3.0,,,
jj-molson,J.J. Molson,K,,,60.0,,,,,,,,,,,
jake-bates,Jake Bates,PK/K,,,101.0,,,,,,,,,,,
justin-hall,Justin Hall,WR,,,,,,,,,1.0,35.0,5.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,0.0,9.0,2.0,,,
marcus-simms,Marcus Simms,WR,,,,,,,,,1.0,84.0,4.0,,,
matt-colburn-ii,Matt Colburn II,WR/RB,,1.0,,,,,,,0.0,14.0,2.0,1.0,28.0,
nolan-henderson,Nolan Henderson,QB,,,,0.0,,0.0,12.0,,,,,,,
panthers-dst,Panthers DST,DST,1.0,,,,1.0,,,20.0,,,,,,2.0
panthers-k,Panthers K,K,,,101.0,,,,,,,,,,,
panthers-qb,Panthers QB,QB,,2.0,,0.0,,1.0,208.0,,,,,2.0,73.0,
reid-sinnett,Reid Sinnett,QB,,1.0,,1.0,,1.0,197.0,,,,,1.0,19.0,
roughnecks-dst,Roughnecks DST,DST,,,,,0.0,,,34.0,,,,,,0.0
roughnecks-k,Roughnecks K,K,,,60.0,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,1.0,,1.0,,1.0,209.0,,,,,1.0,19.0,
siaosi-mariner,Siaosi Mariner,WR,,1.0,,,,,,,0.0,25.0,1.0,,,
tj-pledger-iv,T.J. Pledger IV,RB,,,,,,,,,0.0,35.0,4.0,0.0,34.0,
trey-quinn,Trey Quinn,WR,,,,,,,,,0.0,48.0,5.0,,,
wes-hills,Wes Hills,RB,,,,,,,,,0.0,5.0,2.0,0.0,23.0,
