player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kicking_pat_pct,kr_avg,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
aedan-johnson,AEDAN JOHNSON,K,,,,,,,,1.0,20.0,1.0,1.0,,,,,0.0,5.0,6.0,833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berdale-robins,BerDale Robins,DB,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
bo-bell,Bo Bell,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
charles-reid,Charles Reid,DB,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
chei-hill,Chei Hill,DL,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0
claude-davis,Claude Davis,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0
cornel-jones,Cornel Jones,LB,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
daniel-williams-iii,Daniel Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,0.0,0.0,1.0,11.0,3.0,,,,,,,,,,
degrabiel-floyd,Degrabiel Floyd,WR,0.0,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
delvon-randall,Delvon Randall,LB,0.0,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
donovan-johnson,Donovan Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,20.0,0.0,0.0,1.0,38.0,3.0,,,,,,,,,,
dontorian-best,Dontorian Best,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
isaiah-mcfarland,Isaiah McFarland,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
joel-blankenship,JOEL BLANKENSHIP,RB,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
javonte-johnson,JaVonte Johnson,QB,,714.0,,,,,,,,,,,,1.0,,,,,,,,,14.0,10.0,29.0,13.0,0.0,94.0,1.0,1.0,128.0,0.0,,,,,,,,,14.0,14.0,0.0,1.0,0.0,1.0,14.0,,
jairus-grissom,Jairus Grissom,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,11.0,0.0,0.0,0.0,15.0,2.0,,,,,,,,,,
jarvai-flowers,Jarvai Flowers,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,32.0,0.0,0.0,2.0,99.0,4.0,,2.0,0.0,0.0,1.0,0.0,0.0,2.0,,
javonte-haynes,Javonte Haynes,WR,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
justin-sykes,Justin Sykes,P,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
ledarian-mcallister,Ledarian Mcallister,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,29.0,0.0,0.0,0.0,85.0,5.0,,,,,,,,,,
malik-henry,Malik Henry,WR,,361.0,,,,,,,,,,,,1.0,,,,,,,,,36.0,13.0,32.0,12.0,0.0,76.0,5.0,4.0,155.0,0.0,,,,,,,,,-5.0,0.0,0.0,1.0,0.0,0.0,-5.0,,
michael-white,Michael White,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
oscar-roden,Oscar Roden,K,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
otis-odom,Otis Odom,WR,,,,,,,,,,,,,,,1.0,,,,,29.0,0.0,29.0,,,,,,,,,,,3.0,6.0,0.0,0.0,0.0,6.0,2.0,0.0,,,,,,,,,
