player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_ir,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
abdul-kanneh,Abdul Kanneh,DB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-singleton,Alex Singleton,LB,,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-buckley,Andrew Buckley,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,6.0,1.0,1.0,,,,,,
anthony-parker,Anthony Parker,WR,,,,,,,,,,,,,,,,,17.0,4.0,6.0,,6.0,46.0,,,,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bakari-grant,Bakari Grant,WR,,,,,,,,,,,,,,,,,50.0,2.0,2.0,,4.0,58.0,,,,,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,,,,35.0,23.0,,50.0,4.0,1.0,2.0,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,,,,,,6.0,3.0,5.0,,-4.0,6.0,,,,,,,,,,,,,,,,,,,,,,
brandon-boudreaux,Brandon Boudreaux,DB/DL,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-smith,Brandon Smith,DB/LB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DB/DL,,2.0,4.0,,4.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-milo,Chris Milo,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,3.0,3.0,48.0,10.0,1.0,1.0
chris-williams,Chris Williams,WR,,,,,,,,,,,,,,,,,4.0,1.0,4.0,,-1.0,4.0,16.0,2.0,,,23.0,,,,,,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,,,,,,11.0,4.0,8.0,1.0,7.0,34.0,,,,,,1.0,9.0,,9.0,,,,1.0,6.0,,1.0,,,,,,
damaso-munoz,Damaso Munoz,LB,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danny-obrien,Danny O'Brien,QB,,,,,,,,,3.0,2.0,,13.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deron-mayo,Deron Mayo,LB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ernest-jackson,Ernest Jackson,WR,,,,,,,,,,,,,,,,,41.0,4.0,6.0,1.0,13.0,93.0,,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,,,,,,63.0,4.0,5.0,1.0,26.0,82.0,,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
