player_id,player_name,positions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-richardson,AJ Richardson,WR,,,,,,,,,,,,,,,0.0,5.0,
abram-smith,Abram Smith,RB,,,,,,,,,,,,0.0,14.0,2.0,0.0,39.0,
aidan-robbins,Aidan Robbins,RB,,,,,,,,,,,,,,,2.0,13.0,
alex-kessman,Alex Kessman,K,,2.0,144.0,,,,,,,,,,,,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,,,0.0,14.0,3.0,0.0,55.0,
ben-bresnahan,Ben Bresnahan,TE,,,,,,,,,,,,0.0,0.0,0.0,,,
brahmas-dst,Brahmas DST,DST,,,,,,0.0,,,,18.0,1.0,,,,,,1.0
brahmas-qb,Brahmas QB,QB,,,,,0.0,,,1.0,121.0,,,,,,0.0,6.0,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,,,,0.0,87.0,3.0,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,,,,,1.0,39.0,1.0,,,
carson-strong,Carson Strong,QB,,,,,1.0,,,0.0,76.0,,,,,,,,
chris-rowland,Chris Rowland,WR,,,,,,,,,,,,0.0,62.0,7.0,,,
cole-kelley,Cole Kelley,QB,,,,,0.0,,,0.0,151.0,,,,,,2.0,27.0,
cole-murphy,Cole Murphy,K,,1.0,24.0,,,,,,,,,,,,,,
cornell-powell,Cornell Powell,WR,,,,,,,,,,,,0.0,52.0,3.0,,,
daniel-helm,Daniel Helm,TE,,,,,,,,,,,,0.0,24.0,2.0,,,
dee-anderson,Dee Anderson,WR,,,,,,,,,,,,0.0,4.0,1.0,,,
defenders-dst,Defenders DST,DST,,,,,,0.0,,,,24.0,,,,,,,0.0
defenders-k,Defenders K,K/QB,,,67.0,,0.0,,,1.0,300.0,,,,,,1.0,74.0,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,,,,,0.0,5.0,
derrick-dillon,Derrick Dillon,WR,,,,,,,,,,,,0.0,23.0,4.0,,,
greg-ward,Greg Ward,WR,,,,,,,,,,,,1.0,20.0,3.0,,,
jacob-harris,Jacob Harris,WR,,,,,,,,,,,,0.0,35.0,3.0,,,
jaden-shirden,Jaden Shirden,RB,,,,,,,,,,,,0.0,13.0,2.0,0.0,11.0,
jashaun-corbin,Jashaun Corbin,RB,,,,,,,,,,,,0.0,13.0,1.0,0.0,24.0,
javon-antonio,Javon Antonio,WR,,,,,,,,,,,,0.0,25.0,1.0,,,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,,,0.0,21.0,2.0,0.0,-2.0,
joe-walker,Joe Walker,WR,,,,,,,1.0,,,,,1.0,76.0,7.0,,,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,,,0.0,18.0,2.0,,,
jordan-taamu,Jordan Ta\'amu,QB,,,,,0.0,,,1.0,300.0,,,,,,1.0,74.0,
josh-babicz,Josh Babicz,TE,,,,,,,,,,,,0.0,9.0,1.0,,,
josh-love,Josh Love,QB,,,,,1.0,,1.0,1.0,58.0,,,,,,0.0,4.0,
juwan-washington,Juwan Washington,RB,,,,,,,,,,,,0.0,3.0,1.0,0.0,10.0,
kellen-mond,Kellen Mond,QB,,,,,0.0,,,1.0,121.0,,,,,,0.0,6.0,
kerrith-whyte,Kerrith Whyte,RB,,,,,,,,,,,,0.0,27.0,3.0,0.0,54.0,
marcus-baugh,Marcus Baugh,WR/TE,,,,,,,,,,,,0.0,18.0,3.0,,,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,,,,,0.0,13.0,1.0,,,
mathew-sexton,Mathew Sexton,WR,1.0,,,,,,,,,,,,,,,,
matthew-mccrane,Matthew McCrane,K,,,67.0,,,,,,,,,,,,,,
osirus-mitchell,Osirus Mitchell,WR,,,,,,,,,,,,,3.0,1.0,,,
panthers-dst,Panthers DST,DST,,,,,,0.0,,,,23.0,,,,,,,1.0
panthers-k,Panthers K,K,,1.0,24.0,,,,,,,,,,,,,,
panthers-qb,Panthers QB,QB,,,,,2.0,,1.0,1.0,134.0,,,,,,0.0,3.0,
reggie-corbin,Reggie Corbin,RB,,,,,,,,,,,,0.0,3.0,3.0,0.0,53.0,
ryan-mcdaniel,Ryan McDaniel,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
showboats-k,SHOWBOATS K,K,,2.0,144.0,,,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,,,,0.0,,,0.0,151.0,,,,,,2.0,27.0,
showboats-dst,Showboats DST,DST,1.0,,,2.0,,2.0,,,,10.0,,,,,,,1.0
steven-stilianos,Steven Stilianos,TE,,,,,,,,,,,,0.0,8.0,1.0,,,
stevie-scott-iii,Stevie Scott III,RB,,,,,,,,,,,,,,,0.0,66.0,
trey-quinn,Trey Quinn,WR,,,,,,,,,,,,0.0,8.0,2.0,,,
vinny-papale,Vinny Papale,WR,,,,,,,,,,,,0.0,58.0,3.0,,,
