player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alexander-wilcox,Alexander Wilcox,P,,,,,,,1.0,,1.0,,,,,,
andrew-mckelvey,Andrew McKelvey,P,,,1.0,,,,,,,,,,,,
connor-russell,Connor Russell,P,,,,,,,1.0,,,,,,,,
duncan-fitzgerald,Duncan Fitzgerald,P,2.0,,,32.0,40.0,,3.0,3.0,,,1.0,42.0,2.0,48.0,193.0
dylan-hawkins,Dylan Hawkins,P,,,,2.0,2.0,1.0,,,,,,3.0,1.0,-6.0,
elliott-moore,Elliott Moore,P,1.0,,,7.0,10.0,,1.0,1.0,,,,12.0,2.0,11.0,96.0
eric-brodbeck,Eric Brodbeck,P,,,,9.0,10.0,,1.0,,1.0,,,10.0,,64.0,103.0
evan-swiatek,Evan Swiatek,P,4.0,,,32.0,28.0,1.0,4.0,1.0,,,,30.0,2.0,297.0,239.0
jackson-potts,Jackson Potts,P,,,,3.0,3.0,,,,,12.0,,3.0,,24.0,-25.0
jacob-fairfax,Jacob Fairfax,P,1.0,1.0,,,,,,,,,,,,,
jacob-sames,Jacob Sames,P,,,,3.0,3.0,,,,,,,3.0,,-19.0,24.0
jake-radack,Jake Radack,P,2.0,,,52.0,51.0,,,2.0,1.0,,,55.0,2.0,64.0,342.0
joey-wylie,Joey Wylie,P,2.0,,,8.0,7.0,,1.0,,,,,7.0,,71.0,60.0
kyle-henke,Kyle Henke,P,2.0,,,32.0,32.0,,2.0,1.0,1.0,,,32.0,,316.0,115.0
marc-rovner,Marc Rovner,P,1.0,,,,,,,,,,,,,,
mark-evans,Mark Evans,P,4.0,,,25.0,27.0,2.0,2.0,3.0,4.0,,,29.0,1.0,224.0,290.0
mark-henke,Mark Henke,P,1.0,1.0,,3.0,3.0,,,1.0,,,,3.0,,49.0,21.0
matt-gouchoe-hanas,Matt Gouchoe-Hanas,P,,,,,,,3.0,,,,,,,,
matthew-armour,Matthew Armour,P,,1.0,,12.0,9.0,,2.0,2.0,1.0,,,12.0,3.0,101.0,97.0
mick-walter,Mick Walter,P,,2.0,,3.0,4.0,,,1.0,,,,4.0,,8.0,42.0
nick-loughran,Nick Loughran,P,,,,2.0,2.0,,,,,,,2.0,,17.0,11.0
noah-chambers,Noah Chambers,P,,,,6.0,5.0,,1.0,2.0,,,,5.0,,165.0,5.0
oliver-fay,Oliver Fay,P,,,,1.0,2.0,,,,,9.0,,2.0,,27.0,2.0
reese-bowman,Reese Bowman,P,1.0,1.0,,5.0,4.0,,,,,,,5.0,1.0,59.0,16.0
shane-worthington,Shane Worthington,P,,,,2.0,,,1.0,,,,,1.0,1.0,19.0,
sol-yanuck,Sol Yanuck,P,,1.0,,,,,,,,,,,,,
suraj-madiraju,Suraj Madiraju,P,,,,,,1.0,,,1.0,,,,2.0,,
tobias-brooks,Tobias Brooks,P,2.0,,,,,,,,,,,,,,
trevor-lynch,Trevor Lynch,P,,,,,,2.0,,,,,,,,,
ty-naquin,Ty Naquin,P,,,,,,,,,,1.0,,,,,
walker-matthews,Walker Matthews,P,,,,,,,1.0,,,,,,,,
william-coffin,William Coffin,P,,,,,2.0,,,1.0,,,,,,,
zach-slayton,Zach Slayton,P,1.0,,,14.0,11.0,,2.0,,,,,15.0,4.0,133.0,50.0
