player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,12.0,1.0,,32.0,,
andrew-harris,Andrew Harris,RB,,,,,,,0.0,5.0,1.0,0.0,3.0,,
boris-bede,Boris Bede,K,1.0,,,,,,,,,,,,
cgy-dst,CGY DST,DST,,,,,,7.0,,,,,,3.0,
cgy-k,CGY K,K,2.0,87.0,,,,,,,,,,,
cgy-qb,CGY QB,QB,,,,,149.0,,,,,,8.0,,
cam-phillips,Cam Phillips,WR,,,,,,,1.0,94.0,4.0,,,,
cameron-dukes,Cameron Dukes,QB,,,1.0,0.0,63.0,,0.0,2.0,1.0,0.0,18.0,,
chad-kelly,Chad KELLY,QB,,,0.0,1.0,94.0,,,,,,,,
clark-barnes,Clark BARNES,WR,,,,,,,0.0,24.0,3.0,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,0.0,13.0,1.0,,,,
dedrick-mills,Dedrick MILLS,RB,,,,,,,0.0,18.0,4.0,0.0,137.0,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,0.0,39.0,1.0,,,,
floyd-allen,Floyd Allen,WR,,,,,,,0.0,7.0,1.0,,,,
jake-maier,Jake Maier,QB,,,0.0,0.0,149.0,,,,,0.0,8.0,,
javon-leake,Javon LEAKE,RB,,,,,,,0.0,-2.0,1.0,0.0,8.0,,
levante-bellamy,LeVante Bellamy,RB,,,,,,,,,,0.0,15.0,,
marken-michel,Marken Michel,WR,,,,,,,0.0,12.0,2.0,,,,
micah-awe,Micah Awe,LB,,,,,,,,,,,,,4.0
reggie-begelton,Reggie BEGELTON,WR,,,,,,,0.0,30.0,3.0,,,,
rene-paredes,René Paredes,K,2.0,87.0,,,,,,,,,,,
tor-dst,TOR DST,DST,,,,,,20.0,,,,,,2.0,
tor-k,TOR K,K,1.0,,,,,,,,,,,,
tor-qb,TOR QB,QB,,,1.0,1.0,157.0,,,,,,18.0,,
titus-wall,Titus Wall,LB/DB,,,,,,,,,,,,,2.0
tommy-stevens,Tommy STEVENS,QB,,,,,,,,,,1.0,8.0,,
tommylee-lewis,Tommylee Lewis,WR,,,,,,,0.0,58.0,9.0,,,,
