player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aaron-aiken,Aaron Aiken,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
alexander-coleman,Alexander Coleman,WR,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
caleb-shudak,Caleb  Shudak,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
carlton-watkins,Carlton Watkins,DB,,,,2.0,23.0,2.0,,,,,,,,,,,10.0,50.0,0.0,1.0,250.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
dnerius-antoine,D'Nerius Antoine,WR,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,,,,
deanthony-hall-steele,Deanthony  Hall-Steele,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,0.0,14.0,1.0,3.0,3.0,1.0,0.0,3.0,,,,,,
devin-groenhagen,Devin Groenhagen,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,5.0,1.0,,,,,,0.0,1.0,,,,
dillon-thomas,Dillon Thomas,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,
drew-prohaska,Drew Prohaska,RB,0.0,,,,,,,1.0,0.0,1.0,0.0,,,,1.0,,,,,,,,,,,,16.0,9.0,,28.0,4.0,121.0,,,,,,2.8,12.0,8.0,0.0,22.0,0.0,0.0,,,,
garrett-pemelton,Garrett Pemelton,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,28.0,2.0,68.0,3.0,,,,,,0.0,1.0,,,,
geovonte-howard-injured-reserve,Geovonte Howard (Injured Reserve),DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
jd-griggs,JD Griggs,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,1.0,0.0,,
jadon-johnson,Jadon Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,1.0,25.0,1.0,,,,,,,,,,,
jalen-hicks,Jalen Hicks,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
javon-hayes,Javon Hayes,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,2.0,,,,
jayshawn-washington,Jayshawn Washington,DL,0.0,1.0,0.0,,,,,,,,,20.0,20.0,20.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,
jeff-mack-ii,Jeff Mack II,RB/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,0.0,9.0,3.0,4.0,30.0,13.0,2.0,52.0,,,,,,
jeremiah-flores,Jeremiah Flores,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
joe-powell,Joe Powell,DB/LB/SAF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
kavon-samuels,Kavon Samuels,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,
kewan-alfred,Kewan Alfred,DL/LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,6.0,,,,
korrell-koehlmoos,Korrell Koehlmoos,WR,,,,,,,,,,,,,,,,3.0,,,,,,,16.3,20.0,0.0,49.0,,,,,,,3.5,4.0,1.0,7.0,2.0,5.0,5.0,1.0,0.0,5.0,,,,,,
kye-black,Kye Black,LB,,,,1.0,18.0,1.0,,,,,,,,,,,9.0,48.1,0.0,6.0,433.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0
laroderick-scott,La'Roderick Scott,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,10.0,0.0,23.0,4.0,4.0,8.0,3.0,0.0,12.0,1.0,1.0,1.0,0.0,,
lorenzo-brown,Lorenzo Brown,QB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,19.0,14.0,,21.0,4.0,117.0,,,,,,7.6,14.0,13.0,1.0,99.0,,,,,,
makeah-scippio,Makeah Scippio,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
malcolm-mccoy,Malcolm Mccoy,LB,0.0,,,,,,,,,,,,,,,2.0,,,,,,,23.5,25.0,0.0,47.0,,,,,,,,,,,,,,,,,4.0,4.0,,,,
mason-pierce,Mason Pierce,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.5,0.0,,
michael-jenkins,Michael Jenkins,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
rashad-ridley,Rashad Ridley,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
rashaud-powell,Rashaud Powell,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
