player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,,,,,0.0,26.0,
austin-reed,Austin Reed,QB,,,1.0,,,1.0,258.0,,,,,,,
baylor-cupp,Baylor Cupp,TE,,,,,,,,,0.0,0.0,0.0,,,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,0.0,43.0,3.0,,,
briley-moore,Briley Moore,TE,,,,,,,,,0.0,59.0,3.0,,,
colton-theaker,Colton Theaker,K,,,,,2.0,,,,,,,,,
cornell-powell,Cornell Powell,WR,,,,,,,,,1.0,44.0,3.0,,,
curtis-hodges,Curtis Hodges,TE,,,,,,,,,0.0,28.0,1.0,,,
dallas-renegades-dst,DALLAS RENEGADES DST,DST/K,,,,1.0,2.0,,,24.0,,,,,,3.0
dallas-renegades-qb,DALLAS RENEGADES QB,QB,,,1.0,,,1.0,258.0,,,,,0.0,23.0,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,0.0,9.0,2.0,0.0,10.0,
defenders-dst,Defenders DST,DST,,,,1.0,,,,6.0,,,,,,2.0
defenders-k,Defenders K,K/QB,3.0,56.0,1.0,,1.0,3.0,227.0,,,13.0,3.0,0.0,16.0,
denzel-mims,Denzel Mims,WR,,,,,,,,,0.0,27.0,2.0,,,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,,0.0,17.0,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,0.0,82.0,4.0,,,
drake-stoops,Drake Stoops,WR,,,,,,,,,0.0,13.0,1.0,,,
ellis-merriweather,Ellis Merriweather,RB,,,,,,,,,0.0,34.0,4.0,0.0,17.0,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,0.0,0.0,0.0,,,
erik-ezukanma,Erik Ezukanma,WR,,,,,,,,,1.0,12.0,2.0,,,
ferrod-gardner,Ferrod Gardner,LB,,,,,,,,,,,,0.0,5.0,
greg-ward,Greg Ward,WR,,,,,,,,,0.0,24.0,2.0,,,
johari-branch,Johari Branch,C,,,,,,,,,0.0,0.0,0.0,,,
jordan-taamu,Jordan Ta\'amu,QB,,,1.0,,,3.0,227.0,,,,,0.0,16.0,
keke-coutee,Keke Coutee,WR,,,,,,,,,,,,0.0,4.0,
luke-lehnen,Luke Lehnen,QB,,,,,,,,,,,,0.0,23.0,
mason-fairchild,Mason Fairchild,TE,,,,,,,,,1.0,18.0,2.0,,,
matt-mccrane,Matt McCrane,K,3.0,56.0,,,1.0,,,,,,,,,
seth-green,Seth Green,TE,,,,,,,,,0.0,2.0,1.0,,,
spencer-sanders,Spencer Sanders,QB,,,,,,,,,0.0,13.0,3.0,,,
ty-scott,Ty Scott,WR,,,,,,,,,0.0,38.0,4.0,,,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,1.0,39.0,5.0,,,
xazavian-valladay,Xazavian Valladay,RB,,,,,,,,,,,,0.0,13.0,
