player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
antonio-wimbush,Antonio Wimbush,RB,0.0,,,,,,,,,,,,,,,2.0,,,,,,,31.0,35.0,0.0,62.0,,,,,,,9.5,12.0,0.0,19.0,2.0,4.1,7.0,7.0,1.0,29.0,1.0,1.0,,,,
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,1.0,0.0,,
carl-robinson-iii,Carl Robinson III,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
cole-lundy,Cole Lundy,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,1.0,14.0,1.0,,,,,,,,,,,
daequan-richie,Daequan Richie,WR,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,24.0,24.0,0.0,24.0,1.0,,,,,,,,,,,
damond-powell,Damond Powell,WR,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,2.5,4.0,0.0,5.0,2.0,5.6,17.0,12.0,1.0,67.0,,,,,,
devond-blair-jr,Devond Blair Jr.,WR,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,1.0,,,,,,2.0,3.0,,,,
dyral-dj-mcmillan,Dyral (DJ) McMillan,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
erick-young,Erick Young,RB,0.0,1.0,0.0,,,,,,,,,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
fred-bruno,Fred Bruno,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,6.0,1.0,,,,,,,,,,,
isaiah-major,Isaiah Major,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,,,,
jack-robinson,Jack Robinson,DL,,,,,,,,,,,,,,,,,0.0,41.8,0.0,0.0,167.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
jahmal-sam,Jahmal Sam,,0.0,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,4.0,,,,
