player_id,player_name,positions,1pt_conversion,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
adrian-martinez,Adrian Martinez,QB,,,1.0,,,1.0,164.0,,,,,0.0,8.0,
amari-rodgers,Amari Rodgers,WR,,,,,,,,,1.0,11.0,3.0,0.0,2.0,
binjimen-victor,Binjimen Victor,WR,,,,,,,,,0.0,13.0,1.0,,,
cj-marable,CJ Marable,RB,,,,,,,,,0.0,5.0,1.0,0.0,77.0,
chris-blewitt,Chris Blewitt,K,,66.0,,,,,,,,,,,,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,0.0,15.0,3.0,,,
danny-etling,Danny Etling,QB,,,3.0,,,1.0,182.0,,,,,0.0,3.0,
deon-cain,Deon Cain,WR,,,,,,,,,0.0,19.0,3.0,,,
devin-gray,Devin Gray,WR,,,,,,,,,0.0,33.0,3.0,,,
devin-ross,Devin Ross,WR,,,,,,,,,0.0,4.0,1.0,,,
gary-jennings,Gary Jennings,WR,,,,,,,,,0.0,59.0,2.0,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,0.0,48.0,2.0,,,
jake-bates,Jake Bates,K/PK,,159.0,,,1.0,,,,,,,,,
jordan-thomas-2,Jordan Thomas,TE,1.0,,,,,,,,1.0,62.0,2.0,,,
marcus-simms,Marcus Simms,WR,,,,,,,,,0.0,32.0,3.0,,,
marlon-williams,Marlon Williams,WR,,,,,,,,,0.0,50.0,3.0,,,
matt-colburn-ii,Matt Colburn II,RB/WR,,,,,,,,,0.0,9.0,1.0,0.0,15.0,
matt-corral,Matt Corral,QB,1.0,,1.0,,,2.0,120.0,,,,,0.0,2.0,
nate-mccrary,Nate McCrary,RB,,,,,,,,,0.0,0.0,0.0,0.0,62.0,
panthers-dst,Panthers DST,DST,,,,2.0,,,,31.0,,,,,,4.0
panthers-k,Panthers K,K,,159.0,,,1.0,,,,,,,,,
panthers-qb,Panthers QB,QB,,,3.0,,,1.0,182.0,,,,,0.0,3.0,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,1.0,17.0,2.0,0.0,7.0,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,1.0,60.0,4.0,,,
stallions-dst,Stallions DST,DST,,,,3.0,,,,18.0,,,,,,5.0
stallions-k,Stallions K,K,,66.0,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,,,2.0,,,3.0,284.0,,,,,0.0,10.0,
trey-quinn,Trey Quinn,WR,,,,,,,,,0.0,29.0,3.0,,,
