player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
ag-murtaza,AG Murtaza,,,,,,,,24.0,0.0,0.0,37.0,0.0,1.0,,1.0
at-rayudu,AT Rayudu,,33.0,3.0,0.0,3.0,53.0,4.0,,,,,,,,1.0
bb-mccullum,BB McCullum,,60.0,10.0,0.0,1.0,81.0,2.0,,,,,,,,1.0
bj-hodge,BJ Hodge,,7.0,2.0,1.0,4.0,11.0,0.0,,,,,,,,1.0
dj-jacobs,DJ Jacobs,,21.0,1.0,0.0,1.0,12.0,0.0,,,,,,,,1.0
dpmd-jayawardene,DPMD Jayawardene,,36.0,9.0,0.0,2.0,56.0,0.0,,,,,,,,1.0
harbhajan-singh,Harbhajan Singh,,,,,,,,24.0,0.0,0.0,33.0,0.0,0.0,,1.0
ka-pollard,KA Pollard,,,,,,,,18.0,0.0,0.0,43.0,0.0,3.0,,1.0
mm-patel,MM Patel,,,,,,,,18.0,0.0,0.0,15.0,0.0,0.0,,1.0
nltc-perera,NLTC Perera,,,,,,,,24.0,0.0,0.0,38.0,0.0,1.0,,1.0
r-sathish,R Sathish,,,,,,,,6.0,0.0,0.0,11.0,0.0,0.0,,1.0
r-vinay-kumar,R Vinay Kumar,,,,,,,,24.0,0.0,0.0,48.0,0.0,3.0,1.0,1.0
ra-jadeja,RA Jadeja,,11.0,2.0,1.0,3.0,25.0,2.0,24.0,0.0,0.0,29.0,0.0,1.0,,1.0
rp-singh,RP Singh,,,,,,,,24.0,0.0,0.0,15.0,0.0,0.0,,1.0
rr-powar,RR Powar,,,,,,,,6.0,0.0,0.0,12.0,0.0,0.0,,1.0
rv-gomez,RV Gomez,,,,,,,,18.0,0.0,0.0,29.0,1.0,1.0,,1.0
sl-malinga,SL Malinga,,,,,,,,24.0,0.0,0.0,42.0,2.0,3.0,,1.0
sr-tendulkar,SR Tendulkar,,66.0,12.0,1.0,2.0,100.0,3.0,,,,,,,,1.0
