player_id,player_name,positions,assist_tackles,completions,fg_30_39,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
ajene-harris,Ajene Harris,CB/DB,1.0,,,,,,,,,,2.0,25.0,41.0,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
andre-williams,Andre Williams,WR/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,2.0,,18.0,,,,1.0
asantay-brown,Asantay Brown,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,
austin-macginnis,Austin MacGinnis,K,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin-rehkow,Austin Rehkow,P,,,,,,,,,,,,,,,,,,,,38.8,60.0,,194.0,5.0,3.0,1.0,,,,,,,,,,
austin-walter,Austin Walter,WR,,,,,,,,,,,3.0,22.0,60.0,,,,,,,,,,,,,,,,,,,,,,,
ayodeji-olatoye,Ayodeji Olatoye,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
beniquez-brown,Beniquez Brown,LB/DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,26.0,2.0,,,,,,,1.0
cam-phillips,Cam Phillips,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,,
cameron-artis-payne,Cameron Artis-Payne,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,5.0,12.0,,31.0,,,,1.0
carl-bradford,Carl Bradford,LB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
caushaud-lyons,Caushaud Lyons,DT/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
christian-kuntz,Christian Kuntz,LS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
cody-brown,Cody Brown,S/SAF/DB,1.0,,,,,37.0,,37.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
colton-taylor,Colton Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
corey-crawford,Corey Crawford,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
dallas,Dallas,,,,,,,,20.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashaun-phillips,Dashaun Phillips,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
demarquis-gates,DeMarquis Gates,LB/DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,
deatrick-nichols,Deatrick Nichols,CB/DB,,,,,,22.0,,25.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
