player_id,player_name,positions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anders-carlson,Anders Carlson,K/PK,2.0,86.0,,,,,,,,,,,,,
birmingham-stallions-qb,BIRMINGHAM STALLIONS QB,K/QB/DST,2.0,86.0,3.0,0.0,0.0,,1.0,271.0,17.0,,,,0.0,12.0,0.0
cam-camper,Cam Camper,WR,,,,,,,,,,0.0,38.0,2.0,,,
chris-rowland,Chris Rowland,WR,,,,,,,,,,1.0,42.0,4.0,0.0,4.0,
cole-schneider,Cole Schneider,OC/G,,,,,,1.0,,,,,,,,,
daewood-davis,Daewood Davis,WR,,,,,,,,,,0.0,0.0,0.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,0.0,0.0,0.0,,,
dorian-thompson-robinson,Dorian Thompson-Robinson,QB,,,,0.0,,,1.0,271.0,,,,,0.0,12.0,
elijah-dotson,Elijah Dotson,RB,,,,,,,,,,0.0,24.0,3.0,0.0,15.0,
elijhah-badger,Elijhah Badger,WR,,,,,,,,,,0.0,32.0,3.0,,,
jack-plummer,Jack Plummer,QB,,,,0.0,,1.0,2.0,324.0,,,,,0.0,0.0,
jashaun-corbin,Jashaun Corbin,RB,,,,,,1.0,,,,0.0,7.0,2.0,0.0,53.0,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,0.0,75.0,4.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,0.0,0.0,0.0,,,
justyn-ross,Justyn Ross,WR,,,,,,,,,,1.0,135.0,7.0,,,
kj-hamler,KJ Hamler,WR,,,,,,,,,,1.0,113.0,8.0,,,
michael-lantz,Michael Lantz,K,2.0,35.0,,,,,,,,,,,,,
orlando-storm-dst,ORLANDO STORM DST,DST,,,,,0.0,,,,20.0,,,,,,1.0
orlando-storm-k,ORLANDO STORM K,K,2.0,35.0,,,,,,,,,,,,,
orlando-storm-qb,ORLANDO STORM QB,QB,,,,0.0,,1.0,2.0,324.0,,,,,0.0,0.0,
sam-wiglusz,Sam Wiglusz,WR,,,,,,,,,,0.0,11.0,1.0,,,
shawn-bowman,Shawn Bowman,TE,,,,,,,,,,0.0,29.0,2.0,,,
snoop-conner,Snoop Conner,RB,,,,,,,,,,0.0,18.0,3.0,1.0,61.0,
steven-stilianos,Steven Stilianos,TE,,,,,,,,,,0.0,28.0,1.0,,,
tyler-davis,Tyler Davis,TE/WR/RB,,,,,,,,,,,9.0,2.0,,,
tyrion-davis-price,Tyrion Davis-Price,RB,,,,,,,,,,0.0,33.0,2.0,0.0,30.0,
