player_id,player_name,positions,1pt_conversion,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,,,0.0,0.0,0.0,,,
artayvious-lynn,Artayvious Lynn,TE,,,,,,,,,,,,,,0.0,0.0,0.0,,,
bailey-gaither,Bailey Gaither,WR,,,,,,,,,1.0,,,,,0.0,27.0,3.0,0.0,-1.0,
braedon-bowman,Braedon Bowman,TE/WR,,,,,,,,,,,,,,0.0,6.0,1.0,,,
cj-marable,CJ Marable,RB,,,,,,,,,,,,,,0.0,3.0,2.0,0.0,47.0,
cade-johnson,Cade Johnson,WR,,,,,,,,,,,,,,0.0,0.0,0.0,,,
cameron-echols-luper,Cameron Echols-Luper,WR,,,,,,,,,,,,,,0.0,17.0,2.0,,,
case-cookus,Case Cookus,QB,,,,,,,0.0,,,,0.0,36.0,,,,,0.0,-1.0,
chris-blewitt,Chris Blewitt,K,,,,2.0,118.0,,,,,1.0,,,,,,,0.0,0.0,
darius-victor,Darius Victor,RB,,,,,,,,,,,,,,0.0,25.0,2.0,0.0,48.0,
darrell-stewart-jr,Darrell Stewart Jr.,WR,,,,,,,,,,,,,,,10.0,2.0,,,
davion-davis,Davion Davis,WR,,1.0,,,,,,,,,,,,1.0,62.0,2.0,,,
deandre-johnson,De\'Andre Johnson,QB,,,,,,,2.0,,1.0,,0.0,137.0,,,,,,68.0,
deon-cain,Deon Cain,WR,,,,,,,,,1.0,,,,,1.0,69.0,3.0,,,
garrett-groshek,Garrett Groshek,RB,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,53.0,
generals-dst,Generals DST,DST,,,,,,1.0,,0.0,,,,,20.0,,,,,,3.0
generals-k,Generals K,K,,,,,62.0,,,,,,,,,,,,,,
generals-qb,Generals QB,QB,,,,,,,2.0,,1.0,,0.0,137.0,,,,,0.0,68.0,
georquarius-spivey,Geor\'Quarius Spivey,TE,,,,,,,,,,,,,,0.0,19.0,2.0,,,
harrison-mevis,Harrison Mevis,K,,,,,133.0,,,,,,,,,,,,,,
ishmael-hyman,Ishmael Hyman,WR,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6.0,
isiah-hennie,Isiah Hennie,WR,,,,,,,,,,,,,,1.0,48.0,6.0,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,,,,,0.0,15.0,1.0,,,
jalan-mcclendon,Jalan McClendon,QB,,,,,,,1.0,,,,0.0,236.0,,,,,1.0,17.0,
jalen-camp,Jalen Camp,WR,,,,,,,,,,,,,,0.0,47.0,2.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,,,,,0.0,23.0,2.0,,,
josh-pederson,Josh Pederson,TE/RB/WR,,,,,,,,,,,,,,0.0,16.0,2.0,,,
josh-simmons,Josh Simmons,WR,,,,,,,,,,,,,,0.0,22.0,1.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,,,,0.0,58.0,6.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,,,0.0,35.0,4.0,,,
kingston-davis,Kingston Davis,RB,,,,,,,,,,,,,,,42.0,3.0,0.0,5.0,
