player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
caleb-shudak,Caleb  Shudak,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
carl-robinson-iii,Carl Robinson III,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,0.0,1.0,0.0,-2.0,2.0,4.0,1.5,0.0,,
chris-perry,Chris Perry,DB,0.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,4.0,,,,
cole-lundy,Cole Lundy,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,23.0,1.0,29.0,2.0,3.5,4.0,2.0,0.0,7.0,,,,,,
damond-powell,Damond Powell,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,27.0,1.0,72.0,6.0,4.1,21.0,7.0,1.0,29.0,,,,,,
davonte-brown,Davonte Brown,DB,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,1.0,,5.0,1.0,5.0,,,,,,,,,,,,,,,,
deanthony-hall-steele,Deanthony  Hall-Steele,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,6.0,1.0,,,,,,,,,,,
donnell-brown,Donnell Brown,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,1.0,0.0,,
fred-bruno,Fred Bruno,WR,,,,,,,,,,,,0.0,,,,,,,,,,,,25.0,18.0,,27.0,6.0,227.0,,,,,,0.0,6.0,6.0,0.0,0.0,,,,,,
isaiah-hall,Isaiah Hall,DB,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,2.0,,19.0,0.0,25.0,,,,,,,,,,,,,,,,
