player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
a-argyropoulou,A Argyropoulou,,18.0,0.0,0.0,5.0,13.0,0.0,,,,,,,,1.0
a-makri,A Makri,,27.0,3.0,0.0,4.0,20.0,0.0,24.0,0.0,0.0,21.0,1.0,2.0,,1.0
a-ostergaard,A Ostergaard,,24.0,4.0,0.0,2.0,24.0,0.0,,,,,,,,1.0
a-savvani,A Savvani,,11.0,0.0,0.0,1.0,4.0,0.0,12.0,0.0,1.0,13.0,0.0,3.0,,1.0
ab-slebsager,AB Slebsager,,14.0,3.0,1.0,5.0,19.0,0.0,19.0,0.0,1.0,26.0,1.0,5.0,,1.0
c-ostergaard,C Ostergaard,,,,,,,,24.0,1.0,0.0,12.0,1.0,0.0,,1.0
d-golechha,D Golechha,,,,,,,,24.0,0.0,0.0,9.0,0.0,1.0,,1.0
e-kallous,E Kallous,,15.0,0.0,0.0,3.0,4.0,0.0,6.0,0.0,1.0,8.0,0.0,1.0,,1.0
farhat-afroz,Farhat Afroz,,13.0,0.0,0.0,3.0,13.0,0.0,,,,,,,,1.0
l-ostergaard,L Ostergaard,,6.0,0.0,0.0,4.0,1.0,0.0,19.0,0.0,0.0,19.0,0.0,2.0,,1.0
m-polimeri,M Polimeri,,8.0,0.0,1.0,9.0,6.0,0.0,,,,,,,,1.0
m-syrioti,M Syrioti,,15.0,1.0,0.0,2.0,10.0,0.0,20.0,0.0,0.0,27.0,1.0,3.0,,1.0
m-vervitsioti,M Vervitsioti,,11.0,0.0,0.0,7.0,7.0,0.0,12.0,0.0,0.0,12.0,0.0,1.0,,1.0
ml-karlsen,ML Karlsen,,,,,,,,,,,,,,1.0,1.0
maria-penna,Maria Penna,,3.0,0.0,1.0,11.0,2.0,0.0,,,,,,,,1.0
np-dalgaard,NP Dalgaard,,,,,,,,24.0,0.0,0.0,22.0,2.0,5.0,,1.0
s-georgota,S Georgota,,4.0,0.0,0.0,6.0,1.0,0.0,25.0,0.0,0.0,21.0,0.0,2.0,,1.0
s-hojholt,S Hojholt,,44.0,0.0,1.0,1.0,30.0,0.0,,,,,,,,1.0
s-ostergaard,S Ostergaard,,,,,,,,12.0,0.0,0.0,10.0,2.0,5.0,,1.0
t-parisi-mesimeri,T Parisi-mesimeri,,7.0,1.0,0.0,10.0,6.0,0.0,,,,,,,,1.0
t-skordili,T Skordili,,4.0,1.0,0.0,8.0,5.0,0.0,,,,,,,,1.0
