player_id,player_name,positions,assisted_tackles,blocks,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
albert-curran-iv,Albert Curran IV,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,
anthony-lamar-dixon,Anthony Lamar Dixon,DB,1.0,1.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,,
bizzet-woodley,Bizzet Woodley,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,24.0,1.0,51.0,4.0,,,,,,,,,,,
bryce-holliday,Bryce Holliday,QB,,,,,,,,,,,0.0,,,,,,,,,,,,9.0,5.0,,35.0,0.0,71.0,,,,,,6.0,21.0,5.0,1.0,30.0,,,,,,
byron-cooper,Byron Cooper,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
charles-westbrook,Charles Westbrook,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
chris-elmore,Chris  Elmore,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,0.0,,
damion-barber,Damion Barber,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
darius-meadors,Darius Meadors,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
demry-croft,Demry Croft,QB,,,,,,,,,,,,2.0,,,,,,,10.0,10.0,0.0,20.0,,,,,,,6.0,7.0,0.0,12.0,2.0,4.2,15.0,10.0,1.0,42.0,,,,,,
dionne-thrweatt-vassars,Dionne Thrweatt-Vassars,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
drew-crooks,Drew Crooks,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,0.0,11.0,1.0,13.0,17.0,2.0,2.0,26.0,1.0,1.0,,,,
evan-lewandowski,Evan Lewandowski,QB,1.0,,,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,0.0,,
grant-russell-injured-reserve,Grant Russell (Injured Reserve),QB,,,,,,,,,,,0.0,,,,,,,,,,,,7.0,3.0,,24.0,1.0,39.0,,,,,,2.9,6.0,12.0,0.0,35.0,,,,,,
horatio-smith,Horatio Smith,WR,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,-7.0,0.0,1.0,0.0,-7.0,,,,,,
jerron-mcgaw,Jerron McGaw,RB/WR,,,,,,,,,,,,1.0,,,,,,,21.0,21.0,0.0,21.0,,,,,,,,,,,,3.0,3.0,1.0,0.0,3.0,,,,,,
john-westor,John Westor,DB,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,0.0,,
kenttwon-brown,Kenttwon Brown,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,,,,
logan-stewart,Logan Stewart,WR,,,3.0,0.0,0.0,,,,,,,,1.0,30.0,0.0,0.0,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
marcus-gray,MARCUS GRAY,G,,,,,,,,,,,,,7.0,35.7,0.0,0.0,250.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0
nathan-rosario-santos,Nathan Rosario Santos,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.5,0.0,,
noah-bodden,Noah Bodden,,0.0,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,11.0,3.0,,11.0,0.0,24.0,,,,,,-3.4,4.0,5.0,0.0,-17.0,1.0,1.0,,,,
prince-shonola,Prince Shonola,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,1.0,1.6,5.0,11.0,3.0,18.0,,,,,,
raneiria-dillworth,Raneiria Dillworth,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
robi-stuart,Robi Stuart,DL,1.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.5,0.0,,
rodell-rahmaan,Rodell Rahmaan,TE/WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,35.0,0.0,50.0,2.0,,,,,,1.0,1.0,,,,
ryan-nixon,Ryan Nixon,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,0.0,,,,
shawn-coursey,Shawn Coursey,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.5,0.0,,
terrence-jackson,Terrence Jackson,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,2.0,,,,
travion-mosby,Travion Mosby,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
trevor-spaulding,Trevor Spaulding,,,,,,,,,,,,,,,49.0,0.0,0.0,49.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
verlon-reed,Verlon Reed,QB,0.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
victor-leventritt,Victor Leventritt,K,,,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,1.0,0.0,,0.0,0.0,0.0,,,,,,-1.0,4.0,3.0,0.0,-3.0,,,,,,
wesley-jones,Wesley Jones,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,0.0,,,,
zach-hannibel,Zach Hannibel,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,2.0,,,,
zackary-ninekirk,Zackary Ninekirk,DE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
