player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aaron-dilworth,Aaron Dilworth,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,7.0,1.0,4.1,19.0,15.0,5.0,62.0,,,,,,
albert-curran-iv,Albert Curran IV,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,4.0,,,,
andre-thomas-cobb,Andre Thomas-Cobb,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,35.0,2.0,70.0,4.0,,,,,,,,,,,
anthony-lamar-dixon,Anthony Lamar Dixon,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,1.0,,,,
brandon-munoz,Brandon Munoz,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
bryce-holliday,Bryce Holliday,QB,,,,,,,,,,0.0,,,,,,,,,,,,24.0,13.0,,35.0,4.0,196.0,,,,,,2.3,13.0,7.0,0.0,16.0,,,,,,
byron-cooper,Byron Cooper,LB,,,,,,,,,,1.0,,,,,,,,,,,,30.0,22.0,,33.0,6.0,289.0,15.0,15.0,0.0,15.0,1.0,7.8,24.0,5.0,3.0,39.0,,,,,,
cameron-george,Cameron George,DL,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,,,,
charles-smith,Charles Smith,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
darius-meadors,Darius Meadors,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,5.0,,,,
demario-mays,Demario Mays,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,29.0,0.0,45.0,3.0,-0.4,7.0,7.0,1.0,-3.0,1.0,3.0,1.0,0.0,,
devonte-omalley,Devonte O\'MALLEY,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,,
drake-johnson,Drake Johnson,,0.0,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,3.0,,,,
ezekiel-rose,Ezekiel Rose,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,4.0,,,,
fred-hardgrove,Fred Hardgrove,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,33.0,3.0,104.0,7.0,,,,,,,,,,,
gabriel-reed,Gabriel Reed,K,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,1.0,0.0,,
grant-russell-injured-reserve,Grant Russell (Injured Reserve),QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,14.0,1.0,49.0,5.0,,,,,,,,,,,
henry-nell,Henry Nell,K,,,,,,,,,,,,3.0,45.6,0.0,0.0,456.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0
javon-hayes,Javon Hayes,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,,
john-westor,John Westor,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
kendall-bohler,Kendall Bohler,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,5.0,,,,
kenttwon-brown,Kenttwon Brown,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,0.0,15.0,1.0,,,,,,,,,,,
luiz-ferreira,Luiz Ferreira,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,19.0,2.0,76.0,6.0,,,,,,,,,,,
marcus-gray,MARCUS GRAY,G,,,,1.0,0.0,0.0,,,,,,7.0,30.0,0.0,0.0,210.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0
markel-roby,Markel Roby,S/SAF,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,6.0,10.0,,,,
prince-shonola,Prince Shonola,WR,,,,,,,,,,,9.0,,,,,,,17.7,30.0,0.0,159.0,,,,,,,,,,,,,,,,,,,,,,
raheem-harvey,Raheem Harvey,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
raneiria-dillworth,Raneiria Dillworth,,2.0,,,,,,,,,,1.0,,,,,,,13.0,13.0,0.0,13.0,,,,,,,,,,,,,,,,,3.0,5.0,2.5,0.0,,
raphael-turner,Raphael Turner,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
rodell-rahmaan,Rodell Rahmaan,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,33.0,2.0,99.0,6.0,,,,,,,,,,,
sundiata-anderson,Sundiata ANDERSON,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
terrence-jackson,Terrence Jackson,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,1.0,0.0,,
tevin-bush,Tevin Bush,JLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,0.0,5.0,1.0,,,,,,,,,,,
verlon-reed,Verlon Reed,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,1.0,,,,
