player_id,player_name,positions,1pt_conversion,conversions,dst_touchdown,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
adrian-hardy,Adrian Hardy,WR,,,,,,,,,,,,0.0,19.0,2.0,,,
alex-mcgough,Alex McGough,QB,,,,,,2.0,,1.0,157.0,,,,,,1.0,47.0,
artayvious-lynn,Artayvious Lynn,TE,,,,,,,,,,,,0.0,14.0,1.0,,,
austin-watkins,Austin Watkins,WR,,,,,,,,,,,,0.0,25.0,3.0,,,
bailey-gaither,Bailey Gaither,WR,,,,,,,,,,,,0.0,62.0,6.0,0.0,7.0,
battlehawks-dst,Battlehawks DST,DST,,,,,,,1.0,,,27.0,,,,,,,1.0
battlehawks-k,Battlehawks K,K,,,,,72.0,,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,,1.0,,,,0.0,,1.0,124.0,,,,,,2.0,70.0,
blake-jackson,Blake Jackson,WR,,,,,,,,1.0,57.0,,,0.0,16.0,2.0,,,
brandon-aubrey,Brandon Aubrey,PK/K,,,,3.0,37.0,,,,,,,,,,,,
bryce-perkins,Bryce Perkins,QB,,1.0,,,,0.0,,2.0,235.0,,,,,,0.0,14.0,
cj-marable,CJ Marable,RB,,,,,,,,,,,,0.0,26.0,2.0,0.0,35.0,
chris-blewitt,Chris Blewitt,K,,,,,115.0,,,,,,,,,,,,
cole-hikutini,Cole Hikutini,TE,,1.0,,,,,,,,,,0.0,13.0,1.0,,,
danny-etling,Danny Etling,QB,,,,,,1.0,,0.0,59.0,,,,,,,,
davion-davis,Davion Davis,WR,,,,,,,,,,,,1.0,71.0,8.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,1.0,0.0,0.0,0.0,,,
frank-darby,Frank Darby,WR,,,,,,,,,,,,,,,0.0,0.0,
garrett-groshek,Garrett Groshek,RB,,,,,,,,,,,,0.0,0.0,0.0,0.0,19.0,
gary-jennings,Gary Jennings,WR,,,,,,,,,,,,,,,0.0,3.0,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,,1.0,19.0,2.0,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,,,2.0,124.0,2.0,,,
ishmael-hyman,Ishmael Hyman,WR,,,,,,,,,,,,0.0,16.0,2.0,,,
isiah-hennie,Isiah Hennie,WR,,1.0,,,,,,,,,,0.0,43.0,3.0,0.0,14.0,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,,,0.0,5.0,1.0,,,
jacob-saylors,Jacob Saylors,RB,,,,,,,,,,,,0.0,23.0,2.0,0.0,49.0,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,,0.0,-3.0,2.0,,,
jake-sutherland,Jake Sutherland,WR/TE,,1.0,,,,,,,,,,0.0,21.0,2.0,,,
jarveon-howard,Jarveon Howard,RB,,,,,,,,,,,,,,,0.0,4.0,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,,,,0.0,6.0,1.0,,,
josh-simmons,Josh Simmons,WR,,,,,,,,,,,,0.0,17.0,4.0,,,
madre-london,Madre London,RB,,,,,,,,,,,,,,,0.0,3.0,
malik-turner,Malik Turner,WR,,,,,,,,,,,,1.0,71.0,8.0,,,
mason-stokke,Mason Stokke,FB/RB,,,,,,,,,,,,0.0,13.0,2.0,,,
matt-seybert,Matt Seybert,TE,,,,,,,,,,,,0.0,20.0,1.0,,,
maulers-dst,Maulers DST,DST,,,,,,,2.0,,,18.0,,,,,,,1.0
maulers-k,Maulers K,K,,,,,115.0,,,,,,,,,,,,
maulers-qb,Maulers QB,QB,,,,,,0.0,,0.0,217.0,,,,,,1.0,63.0,
max-duggan,Max Duggan,QB,,1.0,,,,0.0,,1.0,124.0,,,,,,2.0,70.0,
nate-mccrary,Nate McCrary,RB,1.0,,,,,,,,,,,0.0,2.0,1.0,0.0,23.0,
panthers-dst,Panthers DST,DST,,,,,,,0.0,,,32.0,,,,,,,2.0
panthers-qb,Panthers QB,QB,,1.0,,,,1.0,,2.0,294.0,,,,,,0.0,14.0,
rodrigo-blankenship,Rodrigo Blankenship,K,,,,,72.0,,,,,,,,,,,,
samson-nacua,Samson Nacua,WR,,,,,,,,,,,,0.0,46.0,3.0,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,,,,0.0,111.0,6.0,,,
stallions-dst,Stallions DST,DST,,,1.0,,,,0.0,,,20.0,,,,,,,1.0
stallions-k,Stallions K,K,,,,3.0,37.0,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,,,,,,2.0,,1.0,157.0,,,,,,1.0,47.0,
toa-taua,Toa Taua,RB,,,,,,,,,,,,0.0,18.0,2.0,2.0,74.0,
tre-walker,Tre Walker,WR,,,,,,,,,,,,,41.0,3.0,,,
troy-williams,Troy Williams,QB,,,,,,,,,210.0,,,,,,1.0,63.0,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,,,0.0,11.0,1.0,0.0,42.0,
