player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
anthony-webb,Anthony Webb,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
brandon-munoz,Brandon Munoz,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,,
brean-michel,Brean Michel,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
byron-cooper,Byron Cooper,LB,,,,,,,,,,1.0,,,,,,,,,,,,30.0,18.0,,38.0,3.0,175.0,,,,,,-0.5,0.0,2.0,0.0,-1.0,,,,,,,,
caleb-shudak,Caleb  Shudak,K,4.0,1.0,0.0,,,,23.0,23.0,23.0,,,,,,,,,,,,,,,1.0,,,,11.0,11.0,0.0,11.0,1.0,,,,,,,,2.0,6.0,,,,
cameron-george,Cameron George,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,6.0,1.0,0.0,,
charles-smith,Charles Smith,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,13.0,0.0,17.0,2.0,,,,,,,,,,,,,
cole-de-magistris,Cole De Magistris,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
deanthony-hall-steele,Deanthony  Hall-Steele,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.0,2.0,0.0,9.0,,,,,,,,
demario-mays,Demario Mays,DB,,,,,,,,,,0.0,3.0,,,,,,,21.3,35.0,0.0,64.0,1.0,1.0,,5.0,0.0,5.0,8.7,14.0,1.0,52.0,6.0,4.2,18.0,11.0,1.0,46.0,,,,,,,,
devonte-omalley,Devonte O\'MALLEY,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,2.0,,,,
fred-hardgrove,Fred Hardgrove,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,29.0,0.0,64.0,3.0,,,,,,,,,,,,,
gabriel-reed,Gabriel Reed,K,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,
grant-russell-injured-reserve,Grant Russell (Injured Reserve),QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,1.0,7.0,1.0,3.5,8.0,2.0,1.0,7.0,,,,,,,,
ivan-corbin,Ivan Corbin,QB,,,,,,,,,,0.0,,,,,,,,,,,,7.0,3.0,,15.0,0.0,26.0,,,,,,8.5,40.0,8.0,2.0,68.0,,,,,,,,
jakaylen-jackson,Jakaylen Jackson,DB,,,,,,,,,,0.0,,,,,,,,,,,,15.0,5.0,,25.0,1.0,51.0,,,,,,-1.3,2.0,3.0,0.0,-4.0,,,,,,,,
james-pitre,James Pitre,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
javon-hayes,Javon Hayes,,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,3.0,,,,
jayshawn-washington,Jayshawn Washington,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jazeric-peterson,Jazeric Peterson,,1.0,,,,,,,,,0.0,2.0,,,,,,,8.0,11.0,0.0,16.0,1.0,0.0,,0.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,4.0,4.0,1.0,0.0,4.0,,,0.0,1.0,,,,
jeff-mack-ii,Jeff Mack II,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,8.0,0.0,8.0,2.0,2.0,7.0,7.0,1.0,14.0,,,0.0,0.0,,,,
josh-gable,Josh Gable,,,,,2.0,13.0,2.0,,,,,,11.0,50.0,0.0,0.0,250.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
kavon-samuels,Kavon Samuels,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
korrell-koehlmoos,Korrell Koehlmoos,WR,,,,,,,,,,,1.0,,,,,,,16.0,16.0,0.0,16.0,,,,,,,15.5,25.0,1.0,31.0,2.0,,,,,,,,,,,,,
luiz-ferreira,Luiz Ferreira,K,,,,,,,,,,,1.0,,,,,,,-4.0,0.0,0.0,-4.0,,,,,,,13.7,38.0,1.0,82.0,6.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
markel-roby,Markel Roby,S/SAF,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,3.0,,,,
nolan-krinsky,Nolan Krinsky,,1.0,,,2.0,0.0,0.0,,,,,,0.0,41.4,0.0,0.0,207.0,5.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,1.0,0.0
rashad-ridley,Rashad Ridley,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,1.0,0.0,,
rashaud-powell,Rashaud Powell,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,1.0,0.0,,
robi-stuart,Robi Stuart,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,2.0,3.0,,,,
shane-meerbott,Shane Meerbott,DB,0.0,,,,,,,,,,1.0,,,,,,,12.0,12.0,0.0,12.0,,,2.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
steven-adair,Steven Adair,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,9.0,13.0,,,,
tirri-jones,Tirri Jones,QB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
traevan-john,Traevan John,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,
trey-dudley-giles,Trey Dudley-Giles,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,15.0,0.0,24.0,2.0,,,,,,,,,,,,,
tyre-williams,Tyre Williams,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,1.0,1.0,1.0,0.0,,
