player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
addison-mccauley,Addison McCauley,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,17.0,0.0,24.0,2.0,,,,,,1.0,1.0,1.0,0.0,,
adyn-schwarzer,Adyn Schwarzer,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
andre-sale,Andre Sale,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,1.0,0.0,,
away-jefferson,Away Jefferson,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,14.0,0.0,26.0,2.0,18.0,18.0,1.0,0.0,18.0,,,,,,
blaine-espinosa,Blaine Espinosa,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,,,,
brandon-unangst-refused-to-report,Brandon Unangst (Refused to Report),OL,2.0,1.0,0.0,,,,,,,,15.0,15.0,15.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,6.0,,,,
cj-cain,CJ Cain,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,18.0,0.0,28.0,2.0,,,,,,,,,,,
carlos-vazquez,Carlos Vazquez,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,20.0,1.0,28.0,2.0,,,,,,,,,,,
carver-shamelle-dumas,Carver Shamelle Dumas,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,0.0,40.0,5.0,,,,,,,,,,,
chase-alisauckas,Chase Alisauckas,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,4.0,5.0,,,,
darrin-primes,Darrin Primes,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,8.0,4.0,1.0,19.0,,,,,,
david-brown-jr,David Brown Jr.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,,,,
desmond-raiford,Desmond Raiford,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
drew-crooks,Drew Crooks,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
joseph-taylor,Joseph Taylor,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,14.0,0.0,22.0,2.0,9.7,14.0,3.0,1.0,29.0,,,,,,
justin-youmes,Justin Youmes,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
jyaire-stevens,Jyaire Stevens,DL,0.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,4.0,1.0,3.3,11.0,3.0,0.0,10.0,0.0,0.0,,,,
kevin-wade,Kevin Wade,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
kimo-naehu,Kimo Naehu,K,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
ladarius-galloway,LaDarius Galloway,RB,,,,1.0,0.0,0.0,,,,,,,,,,8.0,50.0,0.0,1.0,400.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0
larry-moton,Larry Moton,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,7.0,1.0,,,,,,1.0,1.0,,,,
letrell-golden,Letrell Golden,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
martevious-jeffries,Martevious Jeffries,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,,,,
mclean-djouha,Mclean Djouha,OL,,,,,,,,,,,,,,,3.0,,,,,,,16.0,19.0,0.0,48.0,,,,,,,12.1,23.0,2.0,85.0,7.0,,,,,,,,,,,
miqueal-pillow-smiley,Miqueal Pillow-Smiley,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,
mustafa-majeed,Mustafa Majeed,DB,,,,,,,,,1.0,0.0,,,,1.0,,,,,,,,,,,,2.0,1.0,,8.0,0.0,8.0,,,,,,1.8,7.0,4.0,0.0,7.0,,,,,,
naeem-alexander,Naeem Alexander,DB,0.0,,,,,,1.0,0.0,1.0,0.0,,,,2.0,,,,,,,,,,,,26.0,13.0,,20.0,2.0,117.0,,,,,,8.2,24.0,5.0,0.0,41.0,0.0,0.0,,,,
noa-purcell,Noa Purcell,LB,3.0,2.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,5.0,8.0,,,,
