player_id,player_name,positions,conversions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-allen,A.J. Allen,LB,,,,,0.0,,,,,,,,,0.0,0.0
adam-bighill,Adam Bighill,LB,,,,,0.0,,,,,,,,,2.0,6.0
amari-henderson,Amari Henderson,DB,,,,,0.0,,,,,,,,,0.0,2.0
anthony-bennett,Anthony Bennett,DE,,,,,0.0,,,,,,,,,0.0,1.0
brady-oliveira,Brady OLIVEIRA,RB,,,,,0.0,,,,0.0,12.0,1.0,2.0,88.0,0.0,1.0
brandon-alexander,Brandon Alexander,DB,,,,,0.0,,,,,,,,,0.0,3.0
brett-lauther,Brett LAUTHER,K,,2.0,123.0,,,,,,,,,,,,
dalton-schoen,Dalton SCHOEN,WR,,,,,,,,,0.0,68.0,3.0,,,,
demarcus-christmas,DeMarcus Christmas,DL,,,,,0.0,,,,,,,,,0.0,3.0
deatrick-nichols,Deatrick Nichols,CB/DB,,,,,0.0,,,,,,,,,0.0,4.0
demerio-houston,Demerio Houston,DB,,,,,0.0,,,,,,,,,0.0,7.0
deontai-williams,Deontai Williams,DB,,,,,0.0,,,,,,,,,0.0,4.0
derrick-moncrief,Derrick Moncrief,LB,,,,,0.0,,,,,,,,,0.0,3.0
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,,,1.0,34.0,1.0,,,,
evan-holm,Evan Holm,DB,,,,,0.0,,,,,,,,,1.0,5.0
frankie-hickson,Frankie Hickson,RB,,,,,0.0,,,,,,,0.0,6.0,0.0,0.0
greg-mccrae,Greg McCrae,RB,,,,,,,,,,,,0.0,2.0,,
jackson-jeffcoat,Jackson Jeffcoat,DE/DB,,,,,0.0,,,,,,,,,0.0,2.0
jake-dolegala,Jake Dolegala,QB,,,,0.0,,0.0,326.0,,,,,0.0,19.0,,
jamal-morrow,Jamal Morrow,RB,,,,,,,,,0.0,76.0,4.0,0.0,37.0,,
jamal-parker,Jamal Parker,DB,,,,,0.0,,,,,,,,,0.0,1.0
jaxon-ford,Jaxon Ford,DB,,,,,0.0,,,,,,,,,0.0,4.0
jayden-dalke,Jayden Dalke,DB,,,,,0.0,,,,,,,,,0.0,1.0
jeremy-clark,Jeremy Clark,DB,,,,,0.0,,,,,,,,,0.0,1.0
jesse-briggs,Jesse Briggs,LB,,,,,0.0,,,,,,,,,0.0,0.0
kaare-vedvik,Kaare Vedvik,P/K,,,,,0.0,,,,,,,,,0.0,0.0
kenny-lawler,Kenny Lawler,WR,,,,,,,,,1.0,48.0,2.0,,,,
kian-schaffer-baker,Kian SCHAFFER-BAKER,WR,,,,,,,,,0.0,20.0,1.0,,,,
kosi-onyeka,Kosi Onyeka,DB,,,,,0.0,,,,,,,,,0.0,0.0
kyrie-wilson,Kyrie Wilson,LB,,,,,0.0,,,,,,,,,0.0,4.0
les-maruo,Les Maruo,LB,,,,,0.0,,,,,,,,,0.0,0.0
micah-johnson,Micah Johnson,DL/DB,,,,,0.0,,,,,,,,,1.0,2.0
micah-teitz,Micah Teitz,LB,,,,,0.0,,,,,,,,,0.0,5.0
miles-brown,Miles Brown,DL/DT,,,,,0.0,,,,,,,,,0.0,3.0
mitchell-picton,Mitchell PICTON,WR,,,,,0.0,,,,0.0,37.0,1.0,,,0.0,0.0
nic-demski,Nic DEMSKI,WR,,,,,,,,,0.0,118.0,5.0,,,,
nick-hallett,Nick Hallett,DB,,,,,0.0,,,,,,,,,0.0,0.0
nick-marshall,Nick Marshall,DB,,,,,1.0,,,,,,,,,0.0,1.0
rasheed-bailey,Rasheed Bailey,WR,,,,,,,,,0.0,-1.0,1.0,,,,
redha-kramdi,Redha Kramdi,DB/LB,,,,,0.0,,,,,,,,,0.0,1.0
ricky-walker,Ricky Walker,DT/DB,,,,,0.0,,,,,,,,,0.0,1.0
ssk-dst,SSK DST,DST,,,,,,,,30.0,,,,,,1.0,
ssk-k,SSK K,K,,2.0,123.0,,,,,,,,,,,,
ssk-qb,SSK QB,QB,,,,,,,326.0,,,,,2.0,24.0,,
samuel-emilus,Samuel Emilus,WR,,,,,,,,,0.0,53.0,4.0,,,,
sergio-castillo,Sergio CASTILLO,K,,3.0,14.0,,,,,,,,,,,,
shawn-bane-jr,Shawn Bane Jr.,WR,1.0,,,,,,,,,33.0,5.0,,,,
tanner-cadwallader,Tanner Cadwallader,LB,,,,,0.0,,,,,,,,,0.0,0.0
tevin-jones,Tevin JONES,WR,,,,,,,,,0.0,96.0,5.0,,,,
thomas-bertrand-hudon,Thomas Bertrand-Hudon,RB,,,,,0.0,,,,,,,,,0.0,0.0
wpg-dst,WPG DST,DST,,,,,,,,32.0,,,,,,3.0,
wpg-k,WPG K,K,,3.0,14.0,,,,,,,,,,,,
wpg-qb,WPG QB,QB,,,,1.0,,2.0,279.0,,,,,,5.0,,
winston-rose,Winston Rose,DB,,,,,0.0,,,,,,,,,0.0,3.0
zach-collaros,Zach COLLAROS,QB,,,,1.0,,2.0,279.0,,,,,0.0,5.0,,
